,,,,,Game 12,,,Game 11,,,Game 10,,,Game 9,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Bernard,EVE,$4100,M,4,0,0,0,0,0,0,30,0,0,90,4,0,0,0,0,0,0,0,55,0,0,19,0,0,14,0,0,62,0,0,90,0,0,90,0,0
Richarlison,EVE,$6300,M/F,1,89,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,81,0,0,90,0,0,78,1,0,63,0,0,90,0,0
James Maddison,LEI,$10300,M,79,90,5,1,89,9,1,90,5,1,73,9,1,86,6,0,0,0,0,90,8,0,90,8,1,86,2,0,90,4,1,90,8,0,90,15,0
Youri Tielemans,LEI,$7200,M,14,90,0,0,90,0,0,90,2,0,90,0,0,90,0,0,90,10,0,84,0,0,90,0,0,90,2,0,89,0,0,90,0,0,90,0,0
Ben Chilwell,LEI,$5300,D,3,90,1,0,90,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,1,0,90,0,0,0,0,0,0,0,0,90,0,0
Trent Alexander-Arnold,LIV,$7300,D,61,90,3,0,90,12,1,90,11,1,90,2,0,90,5,0,90,4,1,90,4,0,90,5,0,90,2,0,90,5,0,90,5,0,90,3,1
Mohamed Salah,LIV,$9800,M/F,21,87,0,0,65,0,0,85,0,0,0,0,0,89,0,1,90,2,0,89,0,0,90,5,0,90,3,0,90,1,0,79,3,1,90,7,0
Andrew Robertson,LIV,$5500,D,3,90,1,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0
James Milner,LIV,$5900,M,2,29,1,0,0,0,0,13,0,0,0,0,0,90,0,0,3,0,0,19,0,0,15,0,0,0,0,0,21,0,0,74,1,0,4,0,0
Jordan Henderson,LIV,$5100,M,2,61,0,0,90,0,0,90,0,0,71,0,0,12,0,0,64,0,0,84,0,0,0,0,0,71,0,0,90,0,0,1,0,0,90,2,0
Xherdan Shaqiri,LIV,$6900,M/F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0
Emiliano Buendia,NOR,$6200,M,60,62,5,0,90,3,1,90,2,0,90,7,0,90,10,0,90,7,0,90,3,0,83,5,1,90,4,0,90,3,0,90,9,0,90,2,1
Todd Cantwell,NOR,$4500,M,6,28,6,0,6,0,0,45,0,0,81,0,0,80,0,0,81,0,0,89,0,0,90,0,0,78,0,0,90,0,0,90,0,0,90,0,0
Kenny McLean,NOR,$4200,M,1,90,1,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,12,0,0,9,0,0,0,0,0,90,0,0
Onel Hernandez,NOR,$3900,M,1,90,1,0,90,0,0,45,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
James Ward-Prowse,SOU,$8000,M,53,90,6,1,90,1,0,90,3,1,90,4,1,90,4,1,90,6,1,90,4,0,90,7,0,90,2,0,90,5,2,90,6,0,90,5,0
Ryan Bertrand,SOU,$5100,D,8,0,0,0,0,0,0,12,0,0,90,0,0,90,2,0,90,3,0,45,0,0,0,0,0,0,0,0,0,0,0,77,1,0,90,2,1
Jose Holebas,WAT,$5100,D,33,88,4,0,0,0,0,0,0,0,90,2,0,90,0,0,90,3,0,90,0,0,78,3,1,0,0,0,90,9,0,90,6,0,90,6,0
Gerard Deulofeu,WAT,$6600,F,26,70,1,0,90,2,0,90,6,0,86,0,2,31,0,0,45,3,0,77,4,1,90,4,0,8,1,0,74,1,0,79,3,0,45,1,0
Roberto Pereyra,WAT,$4500,M,11,31,0,0,90,0,0,90,1,0,84,0,0,90,7,0,45,2,0,57,0,0,27,0,0,90,0,0,0,0,0,90,1,0,45,0,2
Tom Cleverley,WAT,$5100,M,4,0,0,0,0,0,0,10,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,4,0,86,0,0,11,0,0,0,0,0
Kiko Femenia,WAT,$3800,D,1,0,0,0,15,0,0,0,0,0,19,0,0,0,0,0,0,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0
Joao Moutinho,WLV,$6000,M,57,90,6,0,90,10,1,90,7,0,90,3,0,90,1,0,90,1,0,90,8,0,90,9,0,31,1,0,59,3,0,90,5,0,90,3,0
Ruben Neves,WLV,$3200,M,11,85,0,0,90,0,0,90,0,0,45,0,0,90,0,0,3,0,0,33,0,0,90,0,0,84,8,0,90,3,0,90,0,0,81,0,0
Pedro Neto,WLV,$5600,F,1,7,0,0,1,0,0,20,0,0,0,0,0,0,0,0,57,0,0,25,0,0,0,0,0,6,0,0,23,1,0,4,0,0,0,0,0
