,,,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Danny Rose,TOT,$4100,D,1,0,0,0,90,0,0,90,1,0,76,0,0,90,0,0,88,0,0,90,0,0,90,0,0
Son Heung-Min,TOT,$8600,M/F,1,73,0,0,64,0,0,90,0,0,90,0,0,79,0,0,90,1,0,0,0,0,0,0,0
Jose Holebas,WAT,$5100,D,27,90,0,0,90,3,0,90,0,0,78,3,1,0,0,0,90,9,0,90,6,0,90,6,0
Gerard Deulofeu,WAT,$6600,F,17,31,0,0,45,3,0,77,4,1,90,4,0,8,1,0,74,1,0,79,3,0,45,1,0
Roberto Pereyra,WAT,$4500,M,10,90,7,0,45,2,0,57,0,0,27,0,0,90,0,0,0,0,0,90,1,0,45,0,2
Tom Cleverley,WAT,$5100,M,4,90,0,0,90,0,0,90,0,0,90,0,0,90,4,0,86,0,0,11,0,0,0,0,0
Kiko Femenia,WAT,$3800,D,1,0,0,0,0,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0
Joao Moutinho,WLV,$6000,M,31,90,1,0,90,1,0,90,8,0,90,9,0,31,1,0,59,3,0,90,5,0,90,3,0
Ruben Neves,WLV,$3200,M,11,90,0,0,3,0,0,33,0,0,90,0,0,84,8,0,90,3,0,90,0,0,81,0,0
Pedro Neto,WLV,$5600,F,1,0,0,0,57,0,0,25,0,0,0,0,0,6,0,0,23,1,0,4,0,0,0,0,0
