,,,,,Game 10,,,Game 9,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Anwar El Ghazi,AVL,$6800,M,5,6,0,0,76,0,0,64,0,0,70,1,0,86,0,1,90,2,0,0,0,0,13,0,0,75,2,1,90,0,0
Trezeguet,AVL,$5300,M,4,90,0,0,27,0,0,26,0,0,20,2,0,68,0,0,0,0,0,54,0,1,86,1,0,87,1,0,59,0,0
Pascal Gross,BHA,$8000,M/F,26,66,1,1,90,5,0,90,2,1,90,3,0,81,3,0,90,4,0,16,1,0,12,1,0,67,4,0,90,2,0
Aaron Mooy,BHA,$5200,M,7,0,0,0,35,1,0,90,3,0,65,0,0,70,1,0,10,0,0,0,0,0,0,0,0,5,2,0,0,0,0
Solomon March,BHA,$5300,M,5,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,89,0,0,90,0,0,68,2,0,90,3,0,89,0,0
Leandro Trossard,BHA,$7500,F,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,90,4,0,85,0,0,0,0,0
Dwight McNeil,BUR,$7300,M/F,26,90,2,0,90,2,0,90,1,0,90,2,2,79,2,0,90,3,0,90,6,0,86,3,0,90,4,0,84,1,0
Ashley Westwood,BUR,$4000,M,24,90,2,0,90,3,0,90,4,0,90,1,0,90,6,1,90,3,0,90,2,0,90,2,0,90,1,0,90,0,0
Johann Berg Gudmundsson,BUR,$6700,M/F,8,0,0,0,0,0,0,84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,72,4,0,90,2,0
Robbie Brady,BUR,$4400,M,1,6,1,0,65,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,LIV,$7300,D,46,90,11,1,90,2,0,90,5,0,90,4,1,90,4,0,90,5,0,90,2,0,90,5,0,90,5,0,90,3,1
Mohamed Salah,LIV,$9800,M/F,21,85,0,0,0,0,0,89,0,1,90,2,0,89,0,0,90,5,0,90,3,0,90,1,0,79,3,1,90,7,0
Jordan Henderson,LIV,$5100,M,2,90,0,0,71,0,0,12,0,0,64,0,0,84,0,0,0,0,0,71,0,0,90,0,0,1,0,0,90,2,0
Andrew Robertson,LIV,$5500,D,2,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0
James Milner,LIV,$5900,M,1,13,0,0,0,0,0,90,0,0,3,0,0,19,0,0,15,0,0,0,0,0,21,0,0,74,1,0,4,0,0
Xherdan Shaqiri,LIV,$6900,M/F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0
Kevin De Bruyne,MCI,$10100,M,52,76,9,0,89,8,0,0,0,0,80,2,0,90,4,1,33,10,0,69,4,0,90,5,0,90,9,0,79,1,0
Ilkay Gundogan,MCI,$5500,M,14,90,0,0,90,0,0,90,7,1,90,0,0,0,0,0,57,6,0,21,0,1,58,0,0,90,1,0,11,0,0
Riyad Mahrez,MCI,$9000,M/F,10,0,0,0,0,0,0,60,2,0,90,0,1,90,1,1,17,3,0,90,4,0,11,0,0,10,0,0,90,0,0
Bernardo Silva,MCI,$8100,M/F,9,90,2,0,90,0,0,30,3,0,10,0,0,90,0,0,73,0,0,12,1,0,79,0,0,80,3,0,0,0,0
Phil Foden,MCI,$7200,M,2,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
David Silva,MCI,$6300,M,1,90,1,0,79,0,0,75,0,1,4,0,0,90,0,0,57,0,0,78,0,0,90,0,0,12,0,0,80,0,0
Oleksandr Zinchenko,MCI,$4500,D,1,0,0,0,0,0,0,45,1,0,90,0,0,0,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0
Matt Ritchie,NEW,$6900,M,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,6,0,90,5,0,90,3,0
Sean Longstaff,NEW,$4100,M,13,82,5,0,90,1,0,90,4,0,90,0,0,0,0,0,0,0,0,90,3,1,90,0,0,16,0,0,67,0,0
Jonjo Shelvey,NEW,$7000,M,9,5,0,0,0,0,0,0,0,0,0,0,0,73,5,0,90,1,0,0,0,0,0,0,0,90,1,0,54,2,0
Christian Atsu,NEW,$4700,M,5,1,0,0,7,0,0,7,0,0,90,0,0,90,0,0,90,0,0,82,5,0,73,0,0,0,0,0,0,0,0
Ki Sung-yueng,NEW,$3700,M,4,0,0,0,0,0,0,0,0,0,45,0,0,17,3,0,0,0,0,0,0,0,0,0,0,74,1,0,0,0,0
Jetro Willems,NEW,$4800,D,1,90,1,0,90,0,0,90,0,0,0,0,0,82,0,0,90,0,0,90,0,0,0,0,0,0,0,0,36,0,0
Emiliano Buendia,NOR,$6200,M,52,90,2,0,90,7,0,90,10,0,90,7,0,90,3,0,83,5,1,90,4,0,90,3,0,90,9,0,90,2,1
Oliver Norwood,SHU,$5600,M,38,63,0,0,85,5,0,90,4,0,77,4,0,64,2,0,90,7,0,90,4,0,90,4,1,90,6,0,90,2,0
John Fleck,SHU,$6500,M,26,90,5,0,90,3,0,90,5,0,90,1,0,90,1,0,90,7,0,0,0,0,0,0,0,29,1,0,90,3,0
Luke Freeman,SHU,$4400,M,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,90,3,0,61,3,0,12,0,0
John Lundstram,SHU,$4800,M,1,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,72,0,0,90,0,0,90,0,0,90,0,0,78,0,0
James Ward-Prowse,SOU,$8000,M,46,90,3,1,90,4,1,90,4,1,90,6,1,90,4,0,90,7,0,90,2,0,90,5,2,90,6,0,90,5,0
Ryan Bertrand,SOU,$5100,D,8,12,0,0,90,0,0,90,2,0,90,3,0,45,0,0,0,0,0,0,0,0,0,0,0,77,1,0,90,2,1
Manuel Lanzini,WHU,$6100,M,24,24,1,0,90,2,1,68,2,0,23,0,0,0,0,0,90,3,0,90,6,0,88,8,0,90,2,0,90,0,0
Robert Snodgrass,WHU,$6300,M,18,86,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,2,0,0,0,0,90,4,0,34,3,0
Pablo Fornals,WHU,$4500,M,12,12,0,0,63,0,0,22,2,0,67,6,0,90,3,0,28,1,0,2,0,0,12,0,0,77,0,0,45,0,0
Felipe Anderson,WHU,$5000,M,2,66,0,0,45,0,0,90,0,0,90,0,0,70,0,0,69,2,0,88,0,0,78,0,0,0,0,0,66,0,0
Joao Moutinho,WLV,$6000,M,41,90,7,0,90,3,0,90,1,0,90,1,0,90,8,0,90,9,0,31,1,0,59,3,0,90,5,0,90,3,0
Ruben Neves,WLV,$3200,M,11,90,0,0,45,0,0,90,0,0,3,0,0,33,0,0,90,0,0,84,8,0,90,3,0,90,0,0,81,0,0
Pedro Neto,WLV,$5600,F,1,20,0,0,0,0,0,0,0,0,57,0,0,25,0,0,0,0,0,6,0,0,23,1,0,4,0,0,0,0,0
