,Matchup,,Daily,,Odds,
Jordan Ayew,CRY,BUR,$5500,F,275,26.67
Christian Benteke,CRY,BUR,$4900,F,275,26.67
Arnaut Danjuma Groeneveld,BOU,TOT,$3700,F,275,26.67
Billy Gilmour,CHE,WHU,$3900,M,275,26.67
Giovani Lo Celso,TOT,BOU,$5900,M,275,26.67
Dominic Solanke,BOU,TOT,$3800,F,275,26.67
Georginio Wijnaldum,LIV,BHA,$4300,M,290,25.64
Neal Maupay,BHA,LIV,$7200,F,300,25.00
Luka Milivojevic,CRY,BUR,$6600,M,300,25.00
Ryan Sessegnon,TOT,BOU,$3200,M,300,25.00
James Ward-Prowse,SOU,WAT,$8000,M,300,25.00
Connor Wickham,CRY,BUR,$3600,F,300,25.00
Wilfried Zaha,CRY,BUR,$7500,M/F,300,25.00
Albian Ajeti,WHU,CHE,$4800,F,310,24.39
Naby Keita,LIV,BHA,$4600,M,330,23.26
Pierre-Emile Hojbjerg,SOU,WAT,$4500,M,340,22.73
Jeff Hendrick,BUR,CRY,$3300,M,350,22.22
Andriy Yarmolenko,WHU,CHE,$5200,F,350,22.22
Michail Antonio,WHU,CHE,$6200,M/F,360,21.74
Stuart Armstrong,SOU,WAT,$3600,M,360,21.74
Glenn Murray,BHA,LIV,$4800,F,360,21.74
Tanguy Ndombele,TOT,BOU,$5200,M,370,21.28
Virgil van Dijk,LIV,BHA,$4100,D,390,20.41
Sofiane Boufal,SOU,WAT,$6600,M,400,20.00
Roberto Pereyra,WAT,SOU,$4500,M,400,20.00
Aaron Connolly,BHA,LIV,,,410,19.61
Harry Wilson,BOU,TOT,$4900,M,410,19.61
N'Golo Kante,CHE,WHU,$5500,M,420,19.23
Abdoulaye Doucoure,WAT,SOU,$3600,M,440,18.52
Trent Alexander-Arnold,LIV,BHA,$7300,D,450,18.18
Ryan Fraser,BOU,TOT,$5200,M,460,17.86
Marcos Alonso,CHE,WHU,$5700,D,480,17.24
Dwight McNeil,BUR,CRY,$7300,M/F,480,17.24
Jeffrey Schlupp,CRY,BUR,$4400,M,490,16.95
Robert Snodgrass,WHU,CHE,$6300,M,490,16.95
Robbie Brady,BUR,CRY,$4400,M,500,16.67
Eric Dier,TOT,BOU,$3000,M,500,16.67
Jordan Henderson,LIV,BHA,$5100,M,500,16.67
Jordon Ibe,BOU,TOT,$3500,M/F,500,16.67
Aaron Lennon,BUR,CRY,$3800,M,500,16.67
Domingos Quina,WAT,SOU,$3200,M,500,16.67
Andros Townsend,CRY,BUR,$5700,M/F,500,16.67
Tom Cleverley,WAT,SOU,$5100,M,550,15.38
Will Hughes,WAT,SOU,$4300,M,550,15.38
Mateo Kovacic,CHE,WHU,$4600,M,550,15.38
Moussa Sissoko,TOT,BOU,$4300,M,550,15.38
Leandro Trossard,BHA,LIV,$7500,F,550,15.38
Felipe Anderson,WHU,CHE,$5000,M,600,14.29
Pablo Fornals,WHU,CHE,$4500,M,600,14.29
Pascal Gross,BHA,LIV,$8000,M/F,600,14.29
Steven Alzate,BHA,LIV,,,700,12.50
Victor Camarasa,CRY,BUR,$6000,M,700,12.50
Jose Holebas,WAT,SOU,$5100,D,700,12.50
Max Meyer,CRY,BUR,$3900,M,700,12.50
Aaron Mooy,BHA,LIV,$5200,M,700,12.50
Mark Noble,WHU,CHE,$4300,M,700,12.50
Jack Wilshere,WHU,CHE,$4000,M,700,12.50
Etienne Capoue,WAT,SOU,$4100,M,750,11.76
Tom Dele-Bashiru,WAT,SOU,$3000,M,750,11.76
Reece James,CHE,WHU,$5200,D,750,11.76
Philip Billing,BOU,TOT,$3200,M,800,11.11
Harry Winks,TOT,BOU,$3500,M,800,11.11
James McArthur,CRY,BUR,$4600,M,850,10.53
Nathaniel Chalobah,WAT,SOU,$3200,M,900,10.00
Kurt Zouma,CHE,WHU,$3700,D,900,10.00
Nathan Ake,BOU,TOT,$3300,D,950,9.52
Yves Bissouma,BHA,LIV,$3200,M,950,9.52
Aaron Cresswell,WHU,CHE,$4700,D,950,9.52
Shane Duffy,BHA,LIV,$2500,D,950,9.52
Juan Foyth,TOT,BOU,$2700,D,950,9.52
Dan Gosling,BOU,TOT,$3800,M,950,9.52
Andrew Robertson,LIV,BHA,$5500,D,950,9.52
Oriol Romeu,SOU,WAT,$3900,M,950,9.52
Craig Dawson,WAT,SOU,$2500,D,1000,9.09
Dimitri Foulquier,WAT,SOU,$3500,D,1000,9.09
James McCarthy,CRY,BUR,$3600,M,1000,9.09
Cedric Soares,SOU,WAT,$4100,D,1000,9.09
Jan Vertonghen,TOT,BOU,$3900,D,1000,9.09
Toby Alderweireld,TOT,BOU,$3000,D,1100,8.33
Serge Aurier,TOT,BOU,$5200,D,1100,8.33
Craig Cathcart,WAT,SOU,$2700,D,1100,8.33
Andreas Christensen,CHE,WHU,$3400,D,1100,8.33
Jack Cork,BUR,CRY,$3600,M,1100,8.33
Kevin Danso,SOU,WAT,$3200,D,1100,8.33
Daryl Janmaat,WAT,SOU,$4400,D,1100,8.33
Christian Kabasele,WAT,SOU,$2500,D,1100,8.33
Dejan Lovren,LIV,BHA,$3700,D,1100,8.33
Fikayo Tomori,CHE,WHU,$3500,D,1100,8.33
Maya Yoshida,SOU,WAT,$2900,D,1100,8.33
Cheikhou Kouyate,CRY,BUR,$3400,M,1200,7.69
Fabian Balbuena,WHU,CHE,$3100,D,1300,7.14
Ben Mee,BUR,CRY,$3200,D,1300,7.14
Sebastian Prodl,WAT,SOU,$2500,D,1300,7.14
Danny Rose,TOT,BOU,$4100,D,1300,7.14
Davinson Sanchez,TOT,BOU,$2500,D,1300,7.14
Andrew Surman,BOU,TOT,$3900,M,1300,7.14
Charlie Taylor,BUR,CRY,$3300,D,1300,7.14
Kyle Walker-Peters,TOT,BOU,$4300,D,1300,7.14
Cesar Azpilicueta,CHE,WHU,$4300,D,1400,6.67
Lewis Cook,BOU,TOT,$3400,M,1400,6.67
Ben Gibson,BUR,CRY,$2800,D,1400,6.67
Jefferson Lerma,BOU,TOT,$3600,M,1400,6.67
Kevin Long,BUR,CRY,$3000,D,1400,6.67
James Tarkowski,BUR,CRY,$3500,D,1400,6.67
Patrick van Aanholt,CRY,BUR,$4500,D,1400,6.67
Davy Propper,BHA,LIV,$4200,M,1500,6.25
Jairo Riedewald,CRY,BUR,$3300,M,1500,6.25
Dale Stephens,BHA,LIV,$4600,M,1500,6.25
Leon Balogun,BHA,LIV,$2700,D,1600,5.88
Ryan Bertrand,SOU,WAT,$5100,D,1600,5.88
Steve Cook,BOU,TOT,$3000,D,1600,5.88
Ben Davies,TOT,BOU,$3400,D,1600,5.88
Kiko Femenia,WAT,SOU,$3800,D,1600,5.88
Adam Masina,WAT,SOU,$3600,D,1600,5.88
Yan Valery,SOU,WAT,$3500,D,1600,5.88
Jannik Vestergaard,SOU,WAT,$2700,D,1600,5.88
Gary Cahill,CRY,BUR,$2700,D,1700,5.56
Scott Dann,CRY,BUR,$3300,D,1700,5.56
Winston Reid,WHU,CHE,$2900,D,1700,5.56
Carlos Sanchez,WHU,CHE,$3800,M,1700,5.56
James Tomkins,CRY,BUR,$2900,D,1700,5.56
Dan Burn,BHA,LIV,,,1800,5.26
Chris Mepham,BOU,TOT,$3200,D,1800,5.26
Declan Rice,WHU,CHE,$3400,M,1800,5.26
Adam Smith,BOU,TOT,$3600,D,1800,5.26
Lewis Dunk,BHA,LIV,$4600,D,1900,5.00
Adrian Mariappa,WAT,SOU,$3100,D,1900,5.00
Adam Webster,BHA,LIV,,,1900,5.00
Arthur Masuaku,WHU,CHE,$3600,D,2000,4.76
Phil Bardsley,BUR,CRY,$4000,D,2100,4.55
Jan Bednarek,SOU,WAT,$2500,D,2100,4.55
Lloyd Kelly,BOU,TOT,$2500,D,2100,4.55
Jack Simpson,BOU,TOT,$2800,D,2100,4.55
Jack Stephens,SOU,WAT,$2900,D,2100,4.55
Jack Stacey,BOU,TOT,$3700,D,2200,4.35
Erik Pieters,BUR,CRY,$3800,D,2400,4.00
Martin Kelly,CRY,BUR,$3700,D,2500,3.85
Mamadou Sakho,CRY,BUR,$2500,D,2500,3.85
Joel Ward,CRY,BUR,$4300,D,2500,3.85
Diego Rico,BOU,TOT,$4900,D,2700,3.57
Matthew Lowton,BUR,CRY,$3700,D,2800,3.45
Bernardo,BHA,LIV,$2900,D,2900,3.33
Angelo Ogbonna,WHU,CHE,$3200,D,2900,3.33
Ezequiel Schelotto,BHA,LIV,$3200,D,3200,3.03
Martin Montoya,BHA,LIV,$4700,D,3500,2.78
Gaetan Bong,BHA,LIV,$3200,D,4700,2.08
Ryan Fredericks,WHU,CHE,$3900,D,4700,2.08
Pablo Zabaleta,WHU,CHE,$3400,D,4700,2.08
