,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Abdoulaye Doucoure,WAT,$3600,M,1241,0.07,0.00,1.74,0.29,1.09,0.65,1.23,1.09,1.09,0.44,55.12
Douglas Luiz,AVL,$3800,M,727,0.25,0.00,1.73,0.62,0.62,0.74,0.37,0.62,0.87,1.24,43.20
Manuel Lanzini,WHU,$6100,M,731,0.00,0.25,1.72,0.37,0.62,3.20,2.59,0.49,0.12,1.72,55.65
Scott McTominay,MUN,$4600,M,1066,0.17,0.08,1.69,0.51,1.27,0.76,0.76,1.01,1.69,2.70,50.40
Nemanja Matic,MUN,$3400,M,160,0.00,0.00,1.69,0.56,0.56,0.00,0.00,1.69,0.56,1.13,67.50
Felipe Anderson,WHU,$5000,M,924,0.00,0.29,1.66,0.68,1.27,2.44,1.46,2.24,0.78,1.56,58.83
Pablo Fornals,WHU,$4500,M,599,0.00,0.15,1.65,0.30,0.60,3.46,1.05,1.20,0.75,0.90,33.36
Marco Stiepermann,NOR,$3900,M,788,0.00,0.00,1.60,0.46,0.57,0.46,1.03,0.69,1.60,1.26,30.95
Roberto Pereyra,WAT,$4500,M,739,0.12,0.00,1.58,0.49,0.61,1.71,1.46,0.37,0.85,2.07,39.82
Jesse Lingard,MUN,$4200,M,461,0.00,0.00,1.56,0.20,0.39,0.78,2.15,0.98,2.15,1.17,38.46
Daniel James,MUN,$6700,M,1164,0.23,0.23,1.55,0.70,0.23,4.48,1.08,0.54,0.62,2.47,26.91
Divock Origi,LIV,$8000,F,291,0.31,0.00,1.55,0.31,0.62,3.71,1.24,2.16,0.93,1.86,24.74
Morgan Gibbs-White,WLV,$3000,M,120,0.00,0.00,1.50,0.00,1.50,1.50,2.25,0.00,1.50,0.75,51.00
Olivier Giroud,CHE,$7600,F,191,0.00,0.00,1.41,0.94,0.00,0.94,1.88,0.00,1.88,0.94,24.03
Fabian Balbuena,WHU,$3100,D,451,0.20,0.00,1.40,0.60,1.20,0.00,0.20,1.20,1.00,0.20,48.69
Pierre-Emile Hojbjerg,SOU,$4500,M,1097,0.00,0.00,1.39,0.25,1.64,0.66,1.23,1.23,1.89,1.07,57.68
Georginio Wijnaldum,LIV,$4300,M,1175,0.08,0.00,1.38,0.61,0.69,0.00,0.31,0.61,0.46,1.00,45.11
Matt Doherty,WLV,$4000,D,890,0.20,0.00,1.31,0.61,1.52,1.52,0.51,0.81,1.01,0.40,45.61
Stuart Armstrong,SOU,$3600,M,350,0.00,0.00,1.29,0.77,0.77,1.03,0.00,0.26,1.54,1.29,25.71
N'Golo Kante,CHE,$5500,M,494,0.55,0.00,1.28,0.55,2.91,1.09,1.28,0.73,2.00,0.73,50.65
Troy Deeney,WAT,$5300,F,214,0.00,0.00,1.26,0.84,0.00,0.00,0.84,0.84,1.26,0.84,21.87
Tom Trybull,NOR,$3400,M,722,0.00,0.00,1.25,0.12,1.12,0.00,0.25,1.99,1.99,0.50,49.74
Yerry Mina,EVE,$2500,D,1169,0.00,0.00,1.23,0.54,1.39,0.23,0.15,0.85,0.69,0.31,48.96
Emiliano Buendia,NOR,$6200,M,1062,0.00,0.34,1.19,0.34,0.42,6.10,2.63,1.02,1.10,1.61,50.76
Will Hughes,WAT,$4300,M,764,0.12,0.12,1.18,0.24,1.41,0.82,1.06,1.65,2.36,2.47,29.80
Shane Long,SOU,$6300,F,154,0.00,0.00,1.17,1.17,0.00,1.17,1.17,0.00,2.34,2.34,26.30
Dennis Praet,LEI,$4600,M,310,0.00,0.00,1.16,0.00,1.45,1.45,0.58,2.32,1.74,0.87,47.03
Kenny McLean,NOR,$4200,M,1009,0.09,0.09,1.16,0.54,1.34,2.32,1.07,1.16,1.07,2.14,51.29
Emerson Palmieri,CHE,$5500,D,704,0.00,0.00,1.15,0.64,1.92,3.45,1.53,1.41,0.26,1.53,65.45
Trent Alexander-Arnold,LIV,$7300,D,1260,0.07,0.36,1.14,0.36,1.57,11.43,3.43,0.93,0.71,0.21,63.50
Aaron Cresswell,WHU,$4700,D,804,0.34,0.00,1.12,0.56,0.90,3.81,0.34,1.01,0.67,0.90,47.46
Tanguy Ndombele,TOT,$5200,M,650,0.28,0.14,1.11,0.42,1.25,1.11,1.11,2.08,1.11,1.94,51.09
Robert Snodgrass,WHU,$6300,M,590,0.31,0.15,1.07,0.61,0.61,9.92,2.59,0.76,1.37,2.44,35.85
Moritz Leitner,NOR,$3600,M,684,0.00,0.00,1.05,0.00,1.18,0.66,0.92,1.18,1.05,1.32,74.08
Lucas Digne,EVE,$5700,D,1243,0.00,0.22,1.01,0.22,1.38,9.41,2.82,1.52,1.23,0.80,45.11
Etienne Capoue,WAT,$4100,M,803,0.00,0.00,1.01,0.11,3.14,0.45,0.56,1.12,1.68,1.23,56.38
Harry Maguire,MUN,$3100,D,1260,0.00,0.00,1.00,0.29,1.57,0.14,0.79,0.36,0.71,0.36,62.50
Christian Fuchs,LEI,$4500,D,184,0.00,0.00,0.98,0.00,0.00,1.96,0.98,1.47,0.49,0.00,55.27
Tom Davies,EVE,$3500,M,553,0.16,0.00,0.98,0.65,2.12,0.65,0.00,0.81,0.81,2.28,39.22
Mason Holgate,EVE,$3100,D,468,0.00,0.38,0.96,0.00,0.96,0.19,0.38,1.35,0.77,0.96,40.19
Juan Mata,MUN,$3400,M,377,0.00,0.00,0.95,0.24,0.00,0.72,1.43,0.48,0.72,1.19,44.88
Sam Byram,NOR,$3500,D,385,0.00,0.00,0.94,0.00,2.10,0.70,0.00,1.64,1.17,0.94,41.84
Virgil van Dijk,LIV,$4100,D,1260,0.21,0.00,0.93,0.36,1.00,0.00,0.14,0.50,0.43,0.79,73.79
Wilfred Ndidi,LEI,$4100,M,1170,0.15,0.00,0.92,0.15,3.00,0.08,0.77,2.31,1.46,0.54,51.54
Jonny,WLV,$3900,D,1090,0.08,0.00,0.91,0.25,1.90,1.98,0.83,1.49,1.49,0.50,33.61
Marcos Alonso,CHE,$5700,D,499,0.18,0.36,0.90,0.36,1.62,4.33,1.44,1.44,1.26,0.54,59.34
Adama Traore,WLV,$6600,M/F,1012,0.18,0.27,0.89,0.18,0.53,5.51,1.33,1.16,1.07,2.67,25.52
Andrew Robertson,LIV,$5500,D,1260,0.07,0.36,0.86,0.29,1.50,5.21,1.36,0.93,0.57,0.57,70.07
Hamza Choudhury,LEI,$3100,M,321,0.00,0.28,0.84,0.28,2.52,0.28,0.84,1.12,0.84,0.84,50.75
Kurt Zouma,CHE,$3700,D,1083,0.00,0.00,0.83,0.25,2.24,0.00,0.00,0.42,0.91,0.75,73.13
Maya Yoshida,SOU,$2900,D,553,0.00,0.00,0.81,0.49,0.65,0.00,0.00,0.81,0.49,0.81,42.97
Bernard,EVE,$4100,M,450,0.40,0.00,0.80,0.40,0.20,2.20,1.20,1.40,1.20,1.20,31.80
Luke Shaw,MUN,$3800,D,225,0.00,0.00,0.80,0.00,1.20,1.60,1.60,1.20,1.20,0.40,63.60
Moussa Sissoko,TOT,$4300,M,1155,0.08,0.08,0.78,0.08,0.47,1.56,0.55,0.55,1.87,0.55,52.75
Jannik Vestergaard,SOU,$2700,D,934,0.10,0.00,0.77,0.39,1.35,0.10,0.48,0.87,0.48,0.48,40.37
Craig Dawson,WAT,$2500,D,1068,0.00,0.00,0.76,0.17,1.18,0.00,0.08,0.51,1.01,0.17,40.79
Max Aarons,NOR,$3200,D,1080,0.00,0.00,0.75,0.17,0.33,0.83,0.58,1.17,1.17,1.50,35.33
Reece James,CHE,$5200,D,240,0.00,0.00,0.75,0.00,1.88,5.63,0.00,1.13,0.75,3.00,52.88
Marcos Rojo,MUN,$2600,D,121,0.00,0.00,0.74,0.00,0.00,2.23,0.00,0.74,1.49,0.74,34.21
Mateo Kovacic,CHE,$4600,M,971,0.00,0.19,0.74,0.19,1.02,0.19,1.02,1.95,0.19,2.22,84.62
Harry Winks,TOT,$3500,M,860,0.00,0.00,0.73,0.21,1.15,1.36,0.94,1.05,0.84,1.26,75.98
Eric Dier,TOT,$3000,M,372,0.00,0.00,0.73,0.24,0.97,0.48,0.73,0.97,0.97,0.00,56.13
Jota,AVL,$4600,M/F,248,0.00,0.36,0.73,0.36,0.73,0.00,1.45,0.00,1.81,0.73,24.31
Nathaniel Chalobah,WAT,$3200,M,249,0.00,0.00,0.72,0.00,0.72,0.36,0.72,0.36,0.36,0.36,39.04
Mark Noble,WHU,$4300,M,916,0.10,0.10,0.69,0.29,0.29,0.49,0.69,0.98,1.67,0.88,51.09
Brandon Williams,MUN,$3300,D,268,0.34,0.00,0.67,0.67,1.34,0.34,1.34,1.34,1.68,1.01,44.33
Grant Hanley,NOR,$3000,D,270,0.00,0.00,0.67,0.33,1.00,0.00,0.00,0.67,0.67,0.67,47.67
Ben Chilwell,LEI,$5300,D,1080,0.08,0.25,0.67,0.25,1.08,4.08,1.50,0.75,0.83,1.08,70.50
Dejan Lovren,LIV,$3700,D,540,0.00,0.00,0.67,0.17,1.00,0.00,0.00,0.83,0.33,0.83,67.50
Ibrahim Amadou,NOR,$3000,M,686,0.00,0.00,0.66,0.00,1.71,0.13,0.13,1.44,0.79,0.26,41.85
Joao Moutinho,WLV,$6000,M,1170,0.08,0.23,0.62,0.23,1.69,5.92,2.08,2.00,1.69,0.62,53.92
Serge Aurier,TOT,$5200,D,739,0.00,0.24,0.61,0.00,1.95,4.87,1.58,2.44,1.22,0.73,45.06
Adam Masina,WAT,$3600,D,300,0.00,0.00,0.60,0.00,0.60,1.50,0.60,0.90,1.20,0.90,36.30
Daryl Janmaat,WAT,$4400,D,608,0.00,0.15,0.59,0.00,1.04,3.55,0.89,1.48,0.74,0.15,39.52
Morgan Schneiderlin,EVE,$3200,M,634,0.00,0.00,0.57,0.00,1.70,0.71,0.43,1.14,1.99,0.14,51.96
Jose Holebas,WAT,$5100,D,976,0.00,0.00,0.55,0.28,0.28,6.09,1.01,1.29,1.57,0.46,36.98
Toby Alderweireld,TOT,$3000,D,1170,0.00,0.15,0.54,0.08,1.31,0.46,0.46,0.77,0.31,0.31,70.31
Fabinho,LIV,$4500,M,1006,0.09,0.09,0.54,0.18,1.43,0.45,1.16,1.61,1.25,0.98,64.86
Seamus Coleman,EVE,$3600,D,691,0.00,0.13,0.52,0.26,1.04,3.26,0.91,0.91,0.91,0.91,48.32
Romain Saiss,WLV,$3000,M,694,0.13,0.00,0.52,0.52,1.56,0.39,0.26,0.91,1.69,0.78,46.56
Jonny Evans,LEI,$4400,D,1232,0.00,0.07,0.51,0.07,1.10,0.07,0.15,1.10,0.29,0.44,65.38
Ricardo Pereira,LEI,$5600,D,1260,0.14,0.07,0.50,0.21,2.00,2.07,0.93,2.50,1.29,1.14,57.86
Declan Rice,WHU,$3400,M,1260,0.00,0.00,0.50,0.14,2.21,0.29,0.29,1.50,1.00,0.21,48.57
Adrian Mariappa,WAT,$3100,D,360,0.00,0.00,0.50,0.00,1.00,0.25,0.00,0.25,0.75,0.75,29.50
Jorginho,CHE,$4300,M,1091,0.08,0.16,0.49,0.08,1.98,0.33,0.99,1.65,1.24,0.99,82.66
Michael Obafemi,SOU,$5300,F,182,0.00,0.00,0.49,0.00,0.99,0.00,0.99,0.49,1.48,0.99,16.81
Leander Dendoncker,WLV,$3400,M,1131,0.00,0.00,0.48,0.00,1.19,0.32,0.16,0.72,0.64,0.16,38.83
Ruben Vinagre,WLV,$3200,D,190,0.00,0.00,0.47,0.00,0.47,2.84,0.47,3.32,1.89,0.95,29.37
Issa Diop,WHU,$2700,D,1144,0.00,0.00,0.47,0.24,1.73,0.08,0.08,0.79,1.34,0.63,39.57
Fikayo Tomori,CHE,$3500,D,990,0.09,0.00,0.45,0.18,1.73,0.00,0.36,1.27,0.45,0.45,79.55
Michael Keane,EVE,$3000,D,991,0.00,0.00,0.45,0.18,1.82,0.00,0.09,0.82,0.91,0.45,50.68
Neil Taylor,AVL,$3400,D,613,0.00,0.00,0.44,0.00,1.32,1.17,0.15,0.88,0.88,0.59,37.59
Joel Matip,LIV,$3600,D,630,0.14,0.00,0.43,0.14,1.71,0.14,0.14,1.29,0.86,0.71,70.14
Arthur Masuaku,WHU,$3600,D,434,0.00,0.21,0.41,0.00,1.87,1.66,1.04,2.49,1.45,1.04,51.01
Jordan Henderson,LIV,$5100,M,893,0.10,0.10,0.40,0.20,1.21,3.53,0.71,1.81,1.01,0.71,54.42
Angelo Ogbonna,WHU,$3200,D,900,0.10,0.00,0.40,0.30,0.40,0.10,0.10,0.80,0.70,0.40,33.40
Marvelous Nakamba,AVL,$3900,M,685,0.00,0.00,0.39,0.13,1.84,0.00,0.79,1.97,0.92,1.58,38.63
Cedric Soares,SOU,$4100,D,481,0.00,0.00,0.37,0.00,1.31,3.93,0.75,1.68,0.19,0.19,39.85
Kyle Walker-Peters,TOT,$4300,D,242,0.00,0.00,0.37,0.00,1.12,2.98,0.74,1.86,0.37,1.86,68.80
Ben Godfrey,NOR,$2500,D,1220,0.00,0.00,0.37,0.07,1.33,0.07,0.00,0.81,0.30,0.15,53.41
Kiko Femenia,WAT,$3800,D,746,0.00,0.00,0.36,0.00,1.09,2.65,1.09,1.93,0.97,0.48,40.17
Caglar Soyuncu,LEI,$3900,D,1260,0.07,0.07,0.36,0.07,1.43,0.07,0.07,1.50,0.93,0.29,69.29
Ashley Young,MUN,$4600,D,772,0.00,0.00,0.35,0.00,0.93,7.11,2.10,0.47,1.63,1.17,55.14
Jamal Lewis,NOR,$3400,D,1046,0.00,0.00,0.34,0.17,0.86,1.55,0.60,0.86,0.60,1.20,44.66
Oriol Romeu,SOU,$3900,M,1046,0.00,0.00,0.34,0.00,1.38,0.26,0.60,2.24,1.46,0.52,48.79
Frederic Guilbert,AVL,$4500,D,1054,0.00,0.17,0.34,0.09,2.13,4.70,0.60,1.96,1.45,1.02,32.53
Djibril Sidibe,EVE,$3800,D,547,0.00,0.33,0.33,0.00,1.48,3.29,0.66,2.63,2.14,0.66,38.50
Kevin Danso,SOU,$3200,D,276,0.00,0.33,0.33,0.00,0.65,1.30,0.65,0.98,1.30,0.65,42.72
Yan Valery,SOU,$3500,D,558,0.00,0.00,0.32,0.16,1.13,1.45,0.32,0.65,0.48,0.97,26.61
Davinson Sanchez,TOT,$2500,D,855,0.00,0.00,0.32,0.21,1.26,0.00,0.11,1.05,1.26,0.42,63.58
Ezri Konsa,AVL,$3300,D,285,0.00,0.00,0.32,0.32,1.26,0.32,0.00,0.63,0.32,1.89,35.37
Andre Gomes,EVE,$3000,M,585,0.00,0.00,0.31,0.00,0.31,0.46,0.92,0.92,2.77,1.23,51.23
Matt Targett,AVL,$4100,D,647,0.14,0.28,0.28,0.14,2.36,2.36,1.53,1.25,0.56,0.42,38.95
Bjorn Engels,AVL,$2900,D,975,0.00,0.00,0.28,0.00,1.29,0.09,0.00,0.28,0.37,0.28,40.43
Ryan Bertrand,SOU,$5100,D,674,0.00,0.13,0.27,0.00,1.47,4.01,1.34,0.67,0.40,1.34,39.93
Aaron Wan-Bissaka,MUN,$4300,D,1071,0.00,0.00,0.25,0.08,1.93,2.61,0.59,3.03,0.42,0.67,50.59
Ben Davies,TOT,$3400,D,361,0.00,0.00,0.25,0.00,1.25,1.75,0.50,0.25,1.50,0.75,54.35
Danny Rose,TOT,$4100,D,809,0.00,0.00,0.22,0.00,0.89,4.12,1.22,1.22,1.56,1.78,48.06
Tyrone Mings,AVL,$2600,D,1260,0.07,0.07,0.21,0.07,0.86,0.21,0.36,0.36,0.50,0.21,44.64
Ryan Bennett,WLV,$2600,D,460,0.00,0.00,0.20,0.00,1.57,0.78,0.39,0.39,0.78,0.20,31.89
Andreas Christensen,CHE,$3400,D,492,0.00,0.00,0.18,0.18,1.28,0.00,0.18,0.55,0.73,0.55,51.59
Cesar Azpilicueta,CHE,$4300,D,1080,0.00,0.17,0.17,0.00,1.50,2.67,1.17,1.58,0.92,0.25,63.17
Alexander Tettey,NOR,$3800,M,550,0.00,0.00,0.16,0.00,1.80,0.16,0.00,0.82,0.16,0.16,45.65
Fabian Delph,EVE,$3200,M,558,0.00,0.00,0.16,0.00,1.13,0.48,0.48,1.29,1.45,0.65,58.06
Christian Kabasele,WAT,$2500,D,605,0.00,0.00,0.15,0.00,2.38,0.00,0.00,1.49,0.89,0.45,29.16
Craig Cathcart,WAT,$2700,D,1010,0.00,0.00,0.09,0.00,0.62,0.09,0.00,0.98,0.45,0.09,40.37
Victor Lindelof,MUN,$2900,D,1170,0.08,0.00,0.08,0.08,0.77,0.08,0.15,0.23,0.31,0.15,59.85
Jan Bednarek,SOU,$2500,D,1258,0.00,0.00,0.07,0.00,2.22,0.00,0.07,1.22,0.86,0.29,41.92
Jan Vertonghen,TOT,$3900,D,630,0.00,0.00,0.00,0.00,1.71,0.29,0.00,0.57,0.29,0.86,64.14
Jack Stephens,SOU,$2900,D,478,0.00,0.00,0.00,0.00,1.51,0.00,0.00,0.75,0.38,0.56,44.81
Conor Coady,WLV,$2500,D,1260,0.00,0.00,0.00,0.00,0.57,0.00,0.14,0.79,0.50,0.07,46.79
Jesus Vallejo,WLV,$2500,D,162,0.00,0.00,0.00,0.00,1.11,0.56,0.00,0.56,1.11,0.56,65.56
Willy Boly,WLV,$2900,D,719,0.00,0.13,0.00,0.00,1.88,0.25,0.63,1.50,1.25,0.50,42.68
Jack Wilshere,WHU,$4000,M,175,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.57,32.91
Pablo Zabaleta,WHU,$3400,D,199,0.00,0.00,0.00,0.00,1.81,4.07,0.45,1.36,0.90,1.81,52.91
Ryan Fredericks,WHU,$3900,D,1088,0.00,0.08,0.00,0.00,0.91,2.23,0.91,1.82,1.08,0.83,37.31
Albian Ajeti,WHU,$4800,F,91,0.00,0.00,0.00,0.00,0.00,0.00,1.98,0.00,3.96,0.00,8.90
Max Kilman,WLV,$2500,D,90,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,2.00,0.00,68.00
Axel Tuanzebe,MUN,$2500,D,186,0.00,0.00,0.00,0.00,2.42,0.48,0.00,0.97,1.45,1.45,65.81
Christoph Zimmermann,NOR,$2700,D,216,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.83,0.83,1.25,32.50
Joe Gomez,LIV,$3400,D,100,0.00,0.00,0.00,0.00,0.90,0.00,0.90,1.80,3.60,0.00,53.10
Jean-Philippe Gbamin,EVE,$3000,M,135,0.00,0.00,0.00,0.00,0.67,0.00,0.00,2.00,1.33,1.33,46.67
Ahmed Elmohamady,AVL,$4200,D,251,0.00,0.00,0.00,0.00,1.79,6.10,2.51,0.72,1.08,0.72,46.25
