,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
James Ward-Prowse,SOU,$7500,M,1530,0.24,0.06,1.76,0.76,1.35,6.29,1.47,0.71,1.24,0.94,38.94
Miguel Almiron,NEW,$6200,M/F,1345,0.00,0.07,1.74,0.40,0.80,0.87,0.74,1.00,0.87,1.87,22.88
Johann Berg Gudmundsson,BUR,$6300,M/F,312,0.29,0.00,1.73,0.58,1.44,5.77,2.02,0.00,0.29,0.29,16.15
Marco Stiepermann,NOR,$4100,M,837,0.00,0.00,1.72,0.54,0.54,0.43,1.08,0.65,1.61,1.40,31.51
Wilfried Zaha,CRY,$8500,M/F,1465,0.18,0.06,1.72,0.49,0.68,1.41,1.04,0.80,1.60,3.56,28.57
Wesley Moraes,AVL,$6000,F,1449,0.25,0.06,1.68,0.93,0.25,0.31,0.56,0.31,2.24,0.68,17.70
Todd Cantwell,NOR,$4900,M,1197,0.30,0.15,1.65,0.83,0.90,0.75,1.58,0.83,1.28,2.11,37.44
Robbie Brady,BUR,$5000,M,274,0.33,0.66,1.64,0.33,0.66,2.96,2.63,1.31,1.31,0.33,24.31
Pascal Gross,BHA,$8900,M/F,1109,0.08,0.24,1.62,0.49,0.32,7.22,3.41,0.65,1.14,0.57,47.23
Yves Bissouma,BHA,$4100,M,230,0.00,0.00,1.57,1.17,1.17,1.17,0.39,1.57,2.74,0.78,48.52
John Lundstram,SHU,$5300,M,1499,0.18,0.12,1.56,0.42,1.20,2.16,0.96,1.08,0.96,0.42,45.09
Glenn Murray,BHA,$5400,F,353,0.00,0.00,1.53,0.25,0.00,0.76,0.51,0.00,2.29,2.29,20.14
Pierre-Emile Hojbjerg,SOU,$4400,M,1367,0.00,0.00,1.51,0.26,1.65,0.72,1.32,1.58,1.91,1.19,59.71
Callum Wilson,BOU,$6600,F,1376,0.33,0.00,1.50,0.72,0.20,0.92,1.18,0.33,1.83,0.72,14.32
Morgan Gibbs-White,WLV,$3300,M,120,0.00,0.00,1.50,0.00,1.50,1.50,2.25,0.00,1.50,0.75,51.00
Jeffrey Schlupp,CRY,$4400,M,859,0.21,0.10,1.47,0.84,1.05,0.73,0.73,0.94,1.47,1.15,27.14
Davy Propper,BHA,$4500,M,1350,0.07,0.07,1.40,0.47,1.13,1.53,0.87,1.33,1.67,0.47,57.73
Sean Longstaff,NEW,$5400,M,710,0.00,0.13,1.39,0.51,1.39,2.66,1.39,0.89,1.14,1.65,41.83
Ryan Fraser,BOU,$6800,M,1166,0.08,0.23,1.31,0.54,0.62,7.72,1.62,0.31,0.62,1.70,32.34
Dwight McNeil,BUR,$7800,M/F,1463,0.06,0.25,1.29,0.43,0.74,6.95,1.41,0.92,0.74,1.17,23.38
Stuart Armstrong,SOU,$3400,M,356,0.00,0.00,1.26,0.76,0.76,1.52,0.00,0.25,1.52,1.26,26.54
John Fleck,SHU,$6700,M,1289,0.28,0.07,1.26,0.63,0.84,5.10,1.75,0.98,0.84,0.35,37.15
Joshua King,BOU,$6400,F,1081,0.25,0.17,1.25,0.58,0.50,0.67,1.42,0.33,1.50,1.42,21.73
Emiliano Buendia,NOR,$6700,M,1248,0.00,0.36,1.23,0.29,0.87,6.49,2.96,1.08,1.01,1.66,52.36
Philip Billing,BOU,$4000,M,1309,0.00,0.07,1.17,0.28,2.82,0.48,0.34,1.38,1.58,0.48,46.62
Andy Carroll,NEW,$5300,F,317,0.00,0.57,1.14,0.28,0.00,1.14,1.42,0.85,1.42,2.84,28.96
Adama Traore,WLV,$8800,M/F,1280,0.21,0.21,1.13,0.35,0.70,5.84,1.27,1.20,1.13,2.81,25.73
Aaron Mooy,BHA,$5500,M,725,0.00,0.12,1.12,0.12,0.74,4.47,1.24,1.49,0.50,0.25,47.42
Cheikhou Kouyate,CRY,$3400,M,1236,0.00,0.00,1.09,0.07,1.38,0.80,0.44,0.87,0.95,1.09,28.62
Matt Doherty,WLV,$5000,D,1160,0.16,0.00,1.09,0.54,1.71,1.71,0.47,0.62,0.78,0.39,45.78
Billy Sharp,SHU,$4000,F,253,0.36,0.00,1.07,0.71,0.36,1.07,3.20,0.71,3.20,2.49,28.10
Fabian Schar,NEW,$4300,D,930,0.10,0.00,1.06,0.19,2.32,0.19,0.00,1.26,1.45,0.97,37.65
Tom Trybull,NOR,$3400,M,853,0.00,0.00,1.06,0.11,1.27,0.00,0.21,2.11,2.32,0.63,50.01
Moritz Leitner,NOR,$3900,M,684,0.00,0.00,1.05,0.00,1.18,0.66,0.92,1.18,1.05,1.32,74.08
Solomon March,BHA,$5800,M,599,0.00,0.15,1.05,0.45,1.50,4.66,1.20,0.90,0.45,0.60,41.32
James McCarthy,CRY,$4300,M,258,0.00,0.00,1.05,0.70,1.74,1.05,0.70,2.09,1.74,2.09,40.12
Jota,AVL,$4500,M/F,262,0.00,0.34,1.03,0.34,0.69,0.00,1.37,0.00,1.72,0.69,25.42
Kortney Hause,AVL,$3000,D,90,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,58.00
Matt Ritchie,NEW,$7400,M,270,0.00,0.00,1.00,0.33,1.67,7.67,2.33,1.33,1.67,1.33,34.33
Sam Byram,NOR,$3900,D,637,0.00,0.00,0.99,0.14,1.84,0.57,0.00,1.41,0.99,0.71,43.09
Kenny McLean,NOR,$4600,M,1279,0.07,0.07,0.99,0.42,1.13,2.25,0.91,1.20,0.91,2.11,50.59
Jeff Hendrick,BUR,$3200,M,1108,0.16,0.08,0.97,0.49,0.89,1.30,0.57,0.41,0.73,0.57,28.27
Simon Francis,BOU,$4300,D,279,0.00,0.00,0.97,0.00,1.61,2.58,0.32,1.29,0.32,0.00,52.26
Steven Alzate,BHA,,,752,0.00,0.00,0.96,0.24,0.84,0.36,1.20,1.32,1.08,1.44,41.65
Luka Milivojevic,CRY,$7100,M,1426,0.13,0.00,0.95,0.44,1.89,6.06,1.20,1.20,2.02,0.82,46.89
Jonny,WLV,$4400,D,1360,0.07,0.07,0.93,0.26,1.92,1.79,0.86,1.39,1.26,0.46,34.35
Jetro Willems,NEW,$5300,D,1176,0.15,0.15,0.92,0.46,0.84,1.76,0.77,1.22,0.69,0.99,26.10
Nathan Ake,BOU,$3400,D,1385,0.06,0.06,0.91,0.19,1.49,0.19,0.32,0.91,0.32,0.58,49.78
Jefferson Lerma,BOU,$4200,M,1228,0.00,0.07,0.88,0.07,2.05,0.29,0.44,0.88,0.95,1.32,47.79
Henri Lansbury,AVL,$4600,M,106,0.00,0.00,0.85,0.00,0.00,0.00,1.70,0.00,2.55,0.00,43.30
James McArthur,CRY,$4800,M,1382,0.00,0.13,0.85,0.13,1.63,0.85,1.04,1.76,1.76,0.98,36.40
Romain Saiss,WLV,$3500,M,964,0.09,0.00,0.84,0.56,1.59,0.28,0.47,0.84,1.77,0.84,47.33
Patrick van Aanholt,CRY,$4600,D,1289,0.14,0.00,0.84,0.21,1.54,2.16,0.63,0.77,0.14,0.28,38.82
Yoshinori Muto,NEW,$3800,F,111,0.00,0.00,0.81,0.00,0.00,0.00,0.00,0.81,0.81,0.81,17.03
Maya Yoshida,SOU,$3200,D,558,0.00,0.00,0.81,0.48,0.65,0.00,0.00,0.81,0.48,0.81,43.06
Christian Atsu,NEW,$4800,M,564,0.00,0.48,0.80,0.16,0.48,2.39,1.91,0.64,0.96,1.12,27.45
Jannik Vestergaard,SOU,$2800,D,934,0.10,0.00,0.77,0.39,1.35,0.10,0.48,0.87,0.48,0.48,40.37
James Tarkowski,BUR,$3700,D,1530,0.06,0.06,0.76,0.18,2.18,0.12,0.35,1.12,1.18,0.94,36.35
Lewis Dunk,BHA,$4600,D,1440,0.13,0.13,0.75,0.25,1.88,0.00,0.44,0.75,0.63,0.69,67.50
Federico Fernandez,NEW,$4200,D,743,0.24,0.12,0.73,0.48,1.21,1.94,0.24,1.45,0.97,0.24,32.95
Adam Webster,BHA,,,1116,0.16,0.00,0.73,0.40,1.77,0.24,0.56,0.65,0.48,0.56,65.97
Shane Duffy,BHA,$2900,D,621,0.14,0.00,0.72,0.14,2.17,0.00,0.00,0.58,1.01,0.72,47.39
Cedric Soares,SOU,$4300,D,748,0.00,0.00,0.72,0.24,1.20,3.97,0.96,1.44,0.84,0.12,35.61
Oliver Norwood,SHU,$5200,M,1412,0.00,0.00,0.70,0.25,1.66,4.78,1.47,1.40,1.21,0.76,62.46
Dale Stephens,BHA,$4700,M,1414,0.00,0.06,0.70,0.13,1.85,0.13,0.64,1.72,1.72,0.38,66.07
Alexander Tettey,NOR,$3700,M,775,0.12,0.12,0.70,0.12,1.86,0.23,0.12,0.81,0.46,0.12,48.89
Matthew Longstaff,NEW,$3100,M,269,0.33,0.00,0.67,0.33,0.67,0.33,0.67,0.00,1.00,0.00,39.81
Isaac Hayden,NEW,$4100,M,1213,0.00,0.07,0.67,0.15,1.63,1.11,0.52,1.26,0.74,0.67,28.64
Grant Hanley,NOR,$3700,D,270,0.00,0.00,0.67,0.33,1.00,0.00,0.00,0.67,0.67,0.67,47.67
Chris Mepham,BOU,$3600,D,541,0.17,0.00,0.67,0.33,2.16,0.33,0.00,0.83,1.33,0.50,41.42
Luke Freeman,SHU,$4400,M,271,0.00,0.00,0.66,0.00,2.99,4.32,1.00,1.33,1.99,1.66,34.21
Lewis Cook,BOU,$3900,M,555,0.00,0.00,0.65,0.16,1.78,0.49,0.97,0.49,1.30,0.81,53.68
Enda Stevens,SHU,$4500,D,1530,0.06,0.12,0.65,0.12,1.29,3.35,1.00,1.35,1.12,0.47,41.59
Emil Krafth,NEW,$3300,D,418,0.00,0.00,0.65,0.00,0.86,1.94,0.00,1.08,0.65,0.65,24.33
Jack Cork,BUR,$3400,M,1293,0.00,0.00,0.63,0.28,0.84,0.35,0.49,0.97,1.04,0.77,32.16
Ahmed Elmohamady,AVL,$4900,D,431,0.00,0.21,0.63,0.00,1.67,6.06,2.30,0.63,0.84,0.42,45.10
Joao Moutinho,WLV,$8000,M,1440,0.06,0.25,0.63,0.19,1.69,6.56,2.25,1.88,1.56,0.63,54.06
Ibrahim Amadou,NOR,$3100,M,731,0.00,0.00,0.62,0.00,1.97,0.12,0.12,1.35,0.86,0.25,43.58
Phil Bardsley,BUR,$4500,D,450,0.00,0.00,0.60,0.20,1.20,1.40,0.20,1.40,1.80,1.20,28.60
Max Aarons,NOR,$3800,D,1350,0.00,0.00,0.60,0.13,0.47,1.27,0.67,1.07,1.00,1.53,37.20
Dan Burn,BHA,,,1530,0.00,0.00,0.59,0.00,1.47,1.53,0.82,1.47,1.12,0.29,52.71
Ciaran Clark,NEW,$3900,D,765,0.24,0.00,0.59,0.47,0.82,0.00,0.12,0.82,0.71,0.24,23.06
Gary Cahill,CRY,$3400,D,1080,0.00,0.00,0.58,0.08,0.50,0.00,0.17,0.17,0.50,0.50,39.50
Andros Townsend,CRY,$5800,M/F,782,0.12,0.12,0.58,0.46,1.15,3.91,0.92,1.73,0.58,1.38,26.70
Ryan Bertrand,SOU,$4700,D,944,0.10,0.10,0.57,0.10,1.43,3.72,0.95,0.76,0.57,1.14,38.14
Steve Cook,BOU,$3400,D,1260,0.07,0.00,0.57,0.07,1.71,0.07,0.21,0.57,0.71,0.71,47.43
Martin Montoya,BHA,$5500,D,1150,0.00,0.08,0.55,0.23,1.25,2.11,0.78,1.64,1.33,1.02,49.07
Jack O'Connell,SHU,$3700,D,1530,0.00,0.06,0.53,0.12,1.47,1.29,0.41,0.65,0.53,0.53,45.47
Diego Rico,BOU,$6000,D,1209,0.00,0.15,0.52,0.15,3.20,6.70,1.49,1.49,0.60,0.82,42.66
Leander Dendoncker,WLV,$4500,M,1401,0.06,0.00,0.51,0.06,1.35,0.26,0.13,0.84,0.84,0.13,40.21
Erik Pieters,BUR,$4600,D,1234,0.00,0.22,0.51,0.07,1.60,1.97,0.73,1.75,0.88,0.88,37.41
Michael Obafemi,SOU,$5200,F,182,0.00,0.00,0.49,0.00,0.99,0.00,0.99,0.49,1.48,0.99,16.81
Ruben Vinagre,WLV,$4000,D,191,0.00,0.00,0.47,0.00,0.47,2.83,0.47,3.30,1.88,0.94,29.21
George Baldock,SHU,$5400,D,1530,0.12,0.18,0.47,0.24,0.76,3.94,0.53,1.06,1.06,1.24,30.53
Ben Mee,BUR,$2900,D,1530,0.00,0.00,0.47,0.24,1.71,0.12,0.29,0.71,0.53,0.88,39.59
Neil Taylor,AVL,$4200,D,613,0.00,0.00,0.44,0.00,1.32,1.17,0.15,0.88,0.88,0.59,37.59
Ashley Westwood,BUR,$4800,M,1260,0.00,0.21,0.43,0.00,0.71,3.79,1.50,0.93,1.50,0.93,47.21
Ben Godfrey,NOR,$2700,D,1490,0.00,0.00,0.42,0.12,1.09,0.06,0.00,0.66,0.36,0.12,55.21
Marvelous Nakamba,AVL,$4300,M,924,0.00,0.00,0.39,0.10,2.14,0.00,0.78,1.85,0.97,1.36,37.60
Jamaal Lascelles,NEW,$3000,D,1002,0.09,0.00,0.36,0.09,1.44,0.00,0.09,0.09,0.90,0.54,26.77
Jack Stacey,BOU,$4400,D,528,0.00,0.00,0.34,0.17,1.53,1.70,0.17,1.19,0.34,0.51,37.16
Jamal Lewis,NOR,$3600,D,1064,0.00,0.00,0.34,0.17,0.93,1.61,0.59,0.85,0.68,1.18,44.66
Kevin Danso,SOU,$3800,D,276,0.00,0.33,0.33,0.00,0.65,1.30,0.65,0.98,1.30,0.65,42.72
Oriol Romeu,SOU,$4000,M,1109,0.00,0.00,0.32,0.00,1.54,0.32,0.57,2.19,1.46,0.65,50.64
Yan Valery,SOU,$3900,D,558,0.00,0.00,0.32,0.16,1.13,1.45,0.32,0.65,0.48,0.97,26.61
Frederic Guilbert,AVL,$5200,D,1156,0.00,0.16,0.31,0.08,2.26,4.52,0.54,1.87,1.40,1.01,33.48
Scott Dann,CRY,$3600,D,336,0.00,0.27,0.27,0.00,1.07,0.00,0.27,0.00,0.00,0.00,47.14
Tyrone Mings,AVL,$2800,D,1373,0.07,0.07,0.26,0.13,0.85,0.33,0.33,0.33,0.52,0.20,43.85
John Egan,SHU,$3300,D,1429,0.00,0.00,0.25,0.06,1.83,0.13,0.00,0.88,0.94,0.50,36.21
Aaron Lennon,BUR,$3600,M,361,0.00,0.00,0.25,0.00,1.25,1.25,0.50,1.25,1.50,1.50,22.94
Joel Ward,CRY,$4400,D,1104,0.00,0.00,0.24,0.08,1.79,1.14,0.16,1.55,0.73,1.47,37.74
Bjorn Engels,AVL,$3200,D,1132,0.00,0.00,0.24,0.00,1.59,0.08,0.00,0.48,0.32,0.24,38.72
James Tomkins,CRY,$3900,D,803,0.00,0.11,0.22,0.00,1.23,0.11,0.22,1.23,0.78,0.56,32.39
Adam Smith,BOU,$4400,D,840,0.00,0.11,0.21,0.11,0.64,1.29,0.43,1.39,1.18,2.14,42.11
Matt Targett,AVL,$5100,D,905,0.10,0.20,0.20,0.10,2.29,2.78,1.49,1.09,0.99,0.50,37.39
Ryan Bennett,WLV,$3300,D,461,0.00,0.00,0.20,0.00,1.56,0.78,0.39,0.39,0.78,0.20,32.60
Ezri Konsa,AVL,$3600,D,465,0.00,0.19,0.19,0.19,1.35,0.19,0.19,0.77,0.39,1.55,29.81
Christoph Zimmermann,NOR,$2900,D,486,0.00,0.19,0.19,0.00,0.74,0.00,0.19,1.30,0.74,1.11,42.96
Chris Basham,SHU,$3800,D,1476,0.00,0.00,0.18,0.00,1.89,1.10,0.18,1.40,0.79,1.10,36.28
DeAndre Yedlin,NEW,$4300,D,556,0.16,0.00,0.16,0.16,0.81,3.08,0.49,1.29,0.97,0.97,23.63
Paul Dummett,NEW,$3600,D,1126,0.00,0.00,0.16,0.16,1.84,0.56,0.08,1.20,0.32,0.48,32.45
Javier Manquillo,NEW,$4500,D,575,0.00,0.16,0.16,0.00,1.10,2.82,0.31,1.72,1.25,0.94,20.97
Jack Stephens,SOU,$2900,D,748,0.00,0.12,0.12,0.00,1.08,0.12,0.12,0.72,0.36,0.36,45.24
Jan Bednarek,SOU,$2800,D,1528,0.00,0.00,0.12,0.00,2.06,0.00,0.06,1.18,0.77,0.41,42.05
Martin Kelly,CRY,$4800,D,955,0.00,0.09,0.09,0.00,0.94,1.04,0.47,0.75,0.66,0.00,33.27
Matthew Lowton,BUR,$3800,D,1080,0.00,0.08,0.08,0.00,1.92,3.08,0.92,1.25,0.92,0.67,34.33
Charlie Taylor,BUR,$3600,D,296,0.00,0.00,0.00,0.00,1.22,2.74,0.61,0.91,0.61,1.52,31.93
Mamadou Sakho,CRY,$3200,D,241,0.00,0.00,0.00,0.00,2.24,0.00,0.37,0.00,0.37,0.37,48.17
Jairo Riedewald,CRY,$3300,M,90,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,33.00
Ki Sung-yueng,NEW,$3500,M,136,0.00,0.00,0.00,0.00,1.99,3.31,1.32,0.66,0.66,1.99,43.68
Charlie Daniels,BOU,$4100,D,127,0.00,0.00,0.00,0.00,0.71,3.54,1.42,0.71,0.00,0.00,26.22
Conor Coady,WLV,$3000,D,1530,0.00,0.00,0.00,0.00,0.53,0.00,0.12,0.76,0.47,0.12,46.65
Jesus Vallejo,WLV,$2900,D,162,0.00,0.00,0.00,0.00,1.11,0.56,0.00,0.56,1.11,0.56,65.56
Willy Boly,WLV,$3700,D,719,0.00,0.13,0.00,0.00,1.88,0.25,0.63,1.50,1.25,0.50,42.68
Phil Jagielka,SHU,$2800,D,128,0.00,0.00,0.00,0.00,0.70,0.70,0.00,2.11,0.70,0.70,28.13
Max Kilman,WLV,$2600,D,90,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,2.00,0.00,68.00
