,,,,,Game 19,,,Game 18,,,Game 17,,,Game 16,,,Game 15,,,Game 14,,,Game 13,,,Game 12,,,Game 11,,,Game 10,,,Game 9,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Jordan Henderson,LIV,$5200,M,2,0,0,0,82,0,0,90,0,0,90,0,1,18,0,0,90,0,0,79,0,0,61,0,0,90,0,0,90,0,0,71,0,0,12,0,0,64,0,0,84,0,0,0,0,0,71,0,0,90,0,0,1,0,0,90,2,0
Kevin De Bruyne,MCI,$11000,M,119,67,0,0,89,3,0,90,4,0,90,11,1,80,4,0,90,10,0,90,8,0,90,16,0,90,11,1,76,9,0,89,8,0,0,0,0,80,2,0,90,4,1,33,10,0,69,4,0,90,5,0,90,9,0,79,1,0
Riyad Mahrez,MCI,$8700,M/F,20,45,0,0,90,4,1,20,0,0,25,4,0,18,0,0,69,0,0,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,0,90,0,1,90,1,1,17,3,0,90,4,0,11,0,0,10,0,0,90,0,0
Ilkay Gundogan,MCI,$5400,M,15,23,1,0,79,0,0,70,0,0,4,0,0,0,0,0,90,0,0,38,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,7,1,90,0,0,0,0,0,57,6,0,21,0,1,58,0,0,90,1,0,11,0,0
Bernardo Silva,MCI,$8000,M/F,15,90,0,0,90,0,0,34,0,0,65,0,0,90,2,0,21,0,0,0,0,0,90,0,0,84,4,0,90,2,0,90,0,0,30,3,0,10,0,0,90,0,0,73,0,0,12,1,0,79,0,0,80,3,0,0,0,0
David Silva,MCI,$6400,M,3,0,0,0,0,0,0,0,0,0,90,1,1,90,0,0,70,1,0,67,0,0,0,0,0,45,0,0,90,1,0,79,0,0,75,0,1,4,0,0,90,0,0,57,0,0,78,0,0,90,0,0,12,0,0,80,0,0
Phil Foden,MCI,$6900,M,2,0,0,0,1,0,0,56,0,0,0,0,0,10,0,0,20,0,0,23,0,0,0,0,0,6,0,0,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Kyle Walker,MCI,$4200,D,1,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,0,0,0,90,0,0,90,1,0,0,0,0,0,0,0,45,0,0,90,0,0,54,0,0,90,0,0,90,0,0,89,0,0,90,0,0,90,0,0
Oleksandr Zinchenko,MCI,$4300,D,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0,90,0,0,0,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0
Gabriel Jesus,MCI,$8500,F,1,0,0,0,90,0,0,90,0,0,90,0,0,90,0,0,84,0,0,13,0,0,19,0,0,45,1,0,90,0,0,90,0,0,15,0,0,66,0,0,0,0,0,33,0,0,0,0,0,0,0,0,24,0,0,69,0,0
Oliver Norwood,SHU,$4300,M,65,90,7,0,82,3,0,86,1,0,65,1,0,72,4,1,90,4,0,90,3,0,90,2,0,90,2,0,63,0,0,85,5,0,90,4,0,77,4,0,64,2,0,90,7,0,90,4,0,90,4,1,90,6,0,90,2,0
John Fleck,SHU,$4900,M,52,90,5,0,0,0,0,90,2,0,90,0,0,90,5,0,90,1,0,90,4,0,90,4,0,90,5,0,90,5,0,90,3,0,90,5,0,90,1,0,90,1,0,90,7,0,0,0,0,0,0,0,29,1,0,90,3,0
Luke Freeman,SHU,$3600,M,7,0,0,0,53,1,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,90,3,0,61,3,0,12,0,0
John Lundstram,SHU,$3900,M,2,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,89,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,72,0,0,90,0,0,90,0,0,90,0,0,78,0,0
Joao Moutinho,WLV,$5800,M,129,90,8,1,90,13,0,90,15,0,90,6,0,90,8,0,90,13,0,90,9,1,90,6,0,90,10,1,90,7,0,90,3,0,90,1,0,90,1,0,90,8,0,90,9,0,31,1,0,59,3,0,90,5,0,90,3,0
Ruben Neves,WLV,$3900,M,11,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,85,0,0,90,0,0,90,0,0,45,0,0,90,0,0,3,0,0,33,0,0,90,0,0,84,8,0,90,3,0,90,0,0,81,0,0
Pedro Neto,WLV,$4400,F,1,11,0,0,13,0,0,0,0,0,13,0,0,18,0,0,0,0,0,0,0,0,7,0,0,1,0,0,20,0,0,0,0,0,0,0,0,57,0,0,25,0,0,0,0,0,6,0,0,23,1,0,4,0,0,0,0,0
