,Matchup,,Daily,,Odds,
Marc Albrighton,LEI,NOR,$5100,M,350,22.22
Yoshinori Muto,NEW,BUR,$4100,F,350,22.22
Jack Grealish,AVL,SHU,$8700,M,360,21.74
Miguel Almiron,NEW,BUR,$5900,M/F,380,20.83
Sofiane Boufal,SOU,WHU,$6600,M,380,20.83
Dennis Praet,LEI,NOR,$4600,M,380,20.83
Jota,AVL,SHU,$4600,M/F,390,20.41
Conor Hourihane,AVL,SHU,$5700,M,400,20.00
Felipe Anderson,WHU,SOU,$5000,M,410,19.61
Pablo Fornals,WHU,SOU,$4500,M,410,19.61
Nathan Holland,WHU,SOU,$3600,M,420,19.23
Luke Freeman,SHU,AVL,$4400,M,430,18.87
Todd Cantwell,NOR,LEI,$4500,M,440,18.52
Henri Lansbury,AVL,SHU,$4100,M,440,18.52
Douglas Luiz,AVL,SHU,$3800,M,440,18.52
Harry Wilson,BOU,CHE,$4900,M,450,18.18
John Fleck,SHU,AVL,$6500,M,460,17.86
Marcos Alonso,CHE,BOU,$5700,D,470,17.54
Pierre-Emile Hojbjerg,SOU,WHU,$4500,M,470,17.54
Wilfred Ndidi,LEI,NOR,$4100,M,480,17.24
Christian Atsu,NEW,BUR,$4700,M,490,16.95
Robbie Brady,BUR,NEW,$4400,M,490,16.95
Mateo Kovacic,CHE,BOU,$4600,M,500,16.67
Mark Noble,WHU,SOU,$4300,M,500,16.67
Ricardo Pereira,LEI,NOR,$5600,D,500,16.67
Hamza Choudhury,LEI,NOR,$3100,M,550,15.38
Arnaut Danjuma Groeneveld,BOU,CHE,$3700,F,550,15.38
Ryan Fraser,BOU,CHE,$5200,M,550,15.38
Aaron Lennon,BUR,NEW,$3800,M,550,15.38
Sean Longstaff,NEW,BUR,$4100,M,550,15.38
Dwight McNeil,BUR,NEW,$7300,M/F,550,15.38
Jack Wilshere,WHU,SOU,$4000,M,550,15.38
Aaron Cresswell,WHU,SOU,$4700,D,600,14.29
Onel Hernandez,NOR,LEI,$3900,M,600,14.29
Jordon Ibe,BOU,CHE,$3500,M/F,650,13.33
Matthew Longstaff,NEW,BUR,$3300,M,650,13.33
Patrick Roberts,NOR,LEI,$3200,M,650,13.33
Ki Sung-yueng,NEW,BUR,$3700,M,650,13.33
Fabian Schar,NEW,BUR,$3400,D,700,12.50
Emiliano Buendia,NOR,LEI,$6200,M,750,11.76
Jonny Evans,LEI,NOR,$4400,D,750,11.76
Oliver Norwood,SHU,AVL,$5600,M,750,11.76
Jonjo Shelvey,NEW,BUR,$7000,M,750,11.76
Christian Fuchs,LEI,NOR,$4500,D,800,11.11
Kenny McLean,NOR,LEI,$4200,M,800,11.11
Jack O'Connell,SHU,AVL,$4000,D,800,11.11
Ben Osborn,SHU,AVL,$3000,M,800,11.11
Muhamed Besic,SHU,AVL,$3100,M,850,10.53
Ben Chilwell,LEI,NOR,$5300,D,850,10.53
Federico Fernandez,NEW,BUR,$3900,D,850,10.53
Reece James,CHE,BOU,$5200,D,850,10.53
James Justin,LEI,NOR,$4200,D,850,10.53
Wes Morgan,LEI,NOR,$3400,D,850,10.53
Oriol Romeu,SOU,WHU,$3900,M,850,10.53
Mario Vrancic,NOR,LEI,$4000,M,850,10.53
Isaac Hayden,NEW,BUR,$3500,M,900,10.00
Cedric Soares,SOU,WHU,$4100,D,900,10.00
Marco Stiepermann,NOR,LEI,$3900,M,900,10.00
Jetro Willems,NEW,BUR,$4800,D,900,10.00
Daniel Amartey,LEI,NOR,$3200,D,950,9.52
Chris Basham,SHU,AVL,$3800,D,950,9.52
Philip Billing,BOU,CHE,$3200,M,950,9.52
John Egan,SHU,AVL,$3500,D,950,9.52
Dan Gosling,BOU,CHE,$3800,M,950,9.52
Nampalys Mendy,LEI,NOR,$3500,M,950,9.52
Caglar Soyuncu,LEI,NOR,$3900,D,950,9.52
Enda Stevens,SHU,AVL,$5000,D,950,9.52
George Baldock,SHU,AVL,$5400,D,1000,9.09
Ciaran Clark,NEW,BUR,$3700,D,1000,9.09
Alexander Tettey,NOR,LEI,$3800,M,1000,9.09
Ashley Westwood,BUR,NEW,$4000,M,1000,9.09
Fabian Balbuena,WHU,SOU,$3100,D,1100,8.33
Kieron Freeman,SHU,AVL,$3000,D,1100,8.33
Phil Jagielka,SHU,AVL,$3200,D,1100,8.33
Marvelous Nakamba,AVL,SHU,$3900,M,1100,8.33
Antonio Rudiger,CHE,BOU,$3600,D,1100,8.33
Kurt Zouma,CHE,BOU,$3700,D,1100,8.33
Lewis Cook,BOU,CHE,$3400,M,1200,7.69
Jack Cork,BUR,NEW,$3600,M,1200,7.69
Jefferson Lerma,BOU,CHE,$3600,M,1200,7.69
Ben Mee,BUR,NEW,$3200,D,1200,7.69
Winston Reid,WHU,SOU,$2900,D,1200,7.69
Carlos Sanchez,WHU,SOU,$3800,M,1200,7.69
Andrew Surman,BOU,CHE,$3900,M,1200,7.69
Charlie Taylor,BUR,NEW,$3300,D,1200,7.69
James Chester,AVL,SHU,$3100,D,1300,7.14
Kevin Danso,SOU,WHU,$3200,D,1300,7.14
Bjorn Engels,AVL,SHU,$2900,D,1300,7.14
Tyrone Mings,AVL,SHU,$2600,D,1300,7.14
Declan Rice,WHU,SOU,$3400,M,1300,7.14
Maya Yoshida,SOU,WHU,$2900,D,1300,7.14
Andreas Christensen,CHE,BOU,$3400,D,1400,6.67
Florian Lejeune,NEW,BUR,$2900,D,1400,6.67
Arthur Masuaku,WHU,SOU,$3600,D,1400,6.67
Richard Stearman,SHU,AVL,$3300,D,1400,6.67
Fikayo Tomori,CHE,BOU,$3500,D,1400,6.67
Matt Targett,AVL,SHU,$4100,D,1500,6.25
James Tarkowski,BUR,NEW,$3500,D,1500,6.25
Ryan Bertrand,SOU,WHU,$5100,D,1600,5.88
Issa Diop,WHU,SOU,$2700,D,1600,5.88
Ben Gibson,BUR,NEW,$2800,D,1600,5.88
Kevin Long,BUR,NEW,$3000,D,1600,5.88
Angelo Ogbonna,WHU,SOU,$3200,D,1600,5.88
Yan Valery,SOU,WHU,$3500,D,1600,5.88
Jannik Vestergaard,SOU,WHU,$2700,D,1600,5.88
Cesar Azpilicueta,CHE,BOU,$4300,D,1700,5.56
Tom Trybull,NOR,LEI,$3400,M,1700,5.56
Kortney Hause,AVL,SHU,$2800,D,1800,5.26
DeAndre Yedlin,NEW,BUR,$4300,D,1800,5.26
Ben Godfrey,NOR,LEI,$2500,D,1900,5.00
Christoph Zimmermann,NOR,LEI,$2700,D,1900,5.00
Jan Bednarek,SOU,WHU,$2500,D,2100,4.55
Chris Mepham,BOU,CHE,$3200,D,2100,4.55
Jack Stephens,SOU,WHU,$2900,D,2100,4.55
Ibrahim Amadou,NOR,LEI,$3000,M,2200,4.35
Paul Dummett,NEW,BUR,$3600,D,2200,4.35
Frederic Guilbert,AVL,SHU,$4500,D,2200,4.35
Grant Hanley,NOR,LEI,$3000,D,2200,4.35
Emil Krafth,NEW,BUR,$3100,D,2200,4.35
Moritz Leitner,NOR,LEI,$3600,M,2200,4.35
Jack Simpson,BOU,CHE,$2800,D,2500,3.85
Jack Stacey,BOU,CHE,$3700,D,2500,3.85
Phil Bardsley,BUR,NEW,$4000,D,2600,3.70
Anthony Driscoll-Glennon,BUR,NEW,,,2600,3.70
Erik Pieters,BUR,NEW,$3800,D,2600,3.70
Neil Taylor,AVL,SHU,$3400,D,2900,3.33
Lloyd Kelly,BOU,CHE,$2500,D,3100,3.13
Matthew Lowton,BUR,NEW,$3700,D,3100,3.13
Diego Rico,BOU,CHE,$4900,D,3100,3.13
Ryan Fredericks,WHU,SOU,$3900,D,3200,3.03
Pablo Zabaleta,WHU,SOU,$3400,D,3200,3.03
Max Aarons,NOR,LEI,$3200,D,3300,2.94
Javier Manquillo,NEW,BUR,$4600,D,3500,2.78
Simon Francis,BOU,CHE,$3500,D,4200,2.33
Sam Byram,NOR,LEI,$3500,D,4300,2.27
Jamal Lewis,NOR,LEI,$3400,D,4300,2.27
