,Matchup,,Daily,,Odds,
Joao Cancelo,MCI,MUN,$4700,D,700,12.50
Tahith Chong,MUN,MCI,$4800,M,700,12.50
Tom Dele-Bashiru,WAT,CRY,$3000,M,700,12.50
Dwight McNeil,BUR,TOT,$7300,M/F,700,12.50
Robbie Brady,BUR,TOT,$4400,M,750,11.76
Aaron Lennon,BUR,TOT,$3800,M,750,11.76
James McArthur,CRY,WAT,$4600,M,750,11.76
Nicolas Otamendi,MCI,MUN,$3400,D,800,11.11
Fernandinho,MCI,MUN,$3700,M,800,11.11
Nathaniel Chalobah,WAT,CRY,$3200,M,850,10.53
Craig Dawson,WAT,CRY,$2500,D,850,10.53
Juan Mata,MUN,MCI,$3400,M,850,10.53
Harry Winks,TOT,BUR,$3500,M,850,10.53
Philip Billing,BOU,LIV,$3200,M,900,10.00
Dimitri Foulquier,WAT,CRY,$3500,D,900,10.00
James McCarthy,CRY,WAT,$3600,M,900,10.00
Dan Gosling,BOU,LIV,$3800,M,950,9.52
Angelino,MCI,MUN,$5000,D,950,9.52
Serge Aurier,TOT,BUR,$5200,D,1000,9.09
Craig Cathcart,WAT,CRY,$2700,D,1000,9.09
Juan Foyth,TOT,BUR,$2700,D,1000,9.09
Christian Kabasele,WAT,CRY,$2500,D,1000,9.09
Cheikhou Kouyate,CRY,WAT,$3400,M,1000,9.09
Dylan Levitt,MUN,MCI,,,1000,9.09
Scott McTominay,MUN,MCI,$4600,M,1000,9.09
Andrew Robertson,LIV,BOU,$5500,D,1000,9.09
John Stones,MCI,MUN,$3100,D,1000,9.09
Nathan Ake,BOU,LIV,$3300,D,1100,8.33
Daryl Janmaat,WAT,CRY,$4400,D,1100,8.33
Jan Vertonghen,TOT,BUR,$3900,D,1100,8.33
Toby Alderweireld,TOT,BUR,$3000,D,1200,7.69
James Garner,MUN,MCI,$3000,M,1200,7.69
Harry Maguire,MUN,MCI,$3100,D,1200,7.69
Benjamin Mendy,MCI,MUN,$4200,D,1200,7.69
Sebastian Prodl,WAT,CRY,$2500,D,1200,7.69
Patrick van Aanholt,CRY,WAT,$4500,D,1200,7.69
Kyle Walker,MCI,MUN,$4000,D,1200,7.69
Ashley Westwood,BUR,TOT,$4000,M,1200,7.69
Ashley Young,MUN,MCI,$4600,D,1200,7.69
Andreas Pereira,MUN,MCI,$5100,M,1300,7.14
Jairo Riedewald,CRY,WAT,$3300,M,1300,7.14
Danny Rose,TOT,BUR,$4100,D,1300,7.14
Jack Cork,BUR,TOT,$3600,M,1400,6.67
Kiko Femenia,WAT,CRY,$3800,D,1400,6.67
Jefferson Lerma,BOU,LIV,$3600,M,1400,6.67
Dejan Lovren,LIV,BOU,$3700,D,1400,6.67
Adam Masina,WAT,CRY,$3600,D,1400,6.67
Andrew Surman,BOU,LIV,$3900,M,1400,6.67
James Tomkins,CRY,WAT,$2900,D,1400,6.67
Gary Cahill,CRY,WAT,$2700,D,1500,6.25
Scott Dann,CRY,WAT,$3300,D,1500,6.25
Davinson Sanchez,TOT,BUR,$2500,D,1500,6.25
Kyle Walker-Peters,TOT,BUR,$4300,D,1500,6.25
Lewis Cook,BOU,LIV,$3400,M,1600,5.88
Steve Cook,BOU,LIV,$3000,D,1600,5.88
Adrian Mariappa,WAT,CRY,$3100,D,1700,5.56
Ben Mee,BUR,TOT,$3200,D,1800,5.26
Chris Mepham,BOU,LIV,$3200,D,1800,5.26
Fred,MUN,MCI,$3900,M,1800,5.26
Adam Smith,BOU,LIV,$3600,D,1800,5.26
Charlie Taylor,BUR,TOT,$3300,D,1900,5.00
Nemanja Matic,MUN,MCI,$3400,M,2000,4.76
Luke Shaw,MUN,MCI,$3800,D,2000,4.76
James Tarkowski,BUR,TOT,$3500,D,2000,4.76
Martin Kelly,CRY,WAT,$3700,D,2200,4.35
Mamadou Sakho,CRY,WAT,$2500,D,2200,4.35
Jack Simpson,BOU,LIV,$2800,D,2200,4.35
Jack Stacey,BOU,LIV,$3700,D,2200,4.35
Ben Gibson,BUR,TOT,$2800,D,2300,4.17
Kevin Long,BUR,TOT,$3000,D,2300,4.17
Axel Tuanzebe,MUN,MCI,$2500,D,2500,3.85
Lloyd Kelly,BOU,LIV,$2500,D,2700,3.57
Diego Rico,BOU,LIV,$4900,D,2700,3.57
Brandon Williams,MUN,MCI,$3300,D,3300,2.94
Simon Francis,BOU,LIV,$3500,D,3600,2.70
Phil Bardsley,BUR,TOT,$4000,D,3800,2.56
Victor Lindelof,MUN,MCI,$2900,D,3800,2.56
Matthew Lowton,BUR,TOT,$3700,D,3800,2.56
Erik Pieters,BUR,TOT,$3800,D,3800,2.56
Phil Jones,MUN,MCI,$2900,D,4400,2.22
Aaron Wan-Bissaka,MUN,MCI,$4300,D,5000,1.96
