,Matchup,,Daily,,Odds,
Giovani Lo Celso,TOT,SOU,$5500,M,360,21.74
Andy Carroll,NEW,LEI,$5300,F,370,21.28
Gylfi Sigurdsson,EVE,MCI,$6500,M/F,370,21.28
Joelinton,NEW,LEI,$5000,F,380,20.83
Nathan Holland,WHU,BOU,$3400,M,380,20.83
Roberto Pereyra,WAT,WLV,$4500,M,390,20.41
Junior Stanislas,BOU,WHU,$4900,M,390,20.41
Oleksandr Zinchenko,MCI,EVE,$4600,D,390,20.41
Moussa Djenepo,SOU,TOT,$5900,M,400,20.00
Matt Doherty,WLV,WAT,$4900,D,400,20.00
Yoshinori Muto,NEW,LEI,$3600,F,400,20.00
Mark Noble,WHU,BOU,$3800,M,400,20.00
Marc Albrighton,LEI,NEW,$5100,M,410,19.61
Stuart Armstrong,SOU,TOT,$3400,M,410,19.61
Ryan Fraser,BOU,WHU,$6900,M,420,19.23
Dan Gosling,BOU,WHU,$4000,M,420,19.23
Patrick Roberts,NOR,CRY,$3200,M,440,18.52
Max Meyer,CRY,NOR,$3700,M,460,17.86
Jack Wilshere,WHU,BOU,$4200,M,460,17.86
Matthew Longstaff,NEW,LEI,$3900,M,470,17.54
Sofiane Boufal,SOU,TOT,$4700,M,480,17.24
Miguel Almiron,NEW,LEI,$5500,M/F,490,16.95
Emiliano Buendia,NOR,CRY,$8100,M,500,16.67
Victor Camarasa,CRY,NOR,$5300,M,500,16.67
Aaron Cresswell,WHU,BOU,$4500,D,500,16.67
Jordon Ibe,BOU,WHU,$4300,M/F,500,16.67
Kenny McLean,NOR,CRY,$4300,M,500,16.67
Nicolas Otamendi,MCI,EVE,$3900,D,500,16.67
Taylor Perry,WLV,WAT,$3900,M,500,16.67
Dennis Praet,LEI,NEW,$4000,M,500,16.67
Jonjo Shelvey,NEW,LEI,$6600,M,500,16.67
Bernard,EVE,MCI,$4400,M,550,15.38
Will Hughes,WAT,WLV,$3800,M,550,15.38
Joao Moutinho,WLV,WAT,$7200,M,550,15.38
Tanguy Ndombele,TOT,SOU,$4800,M,550,15.38
Ruben Neves,WLV,WAT,$4600,M,550,15.38
Marco Stiepermann,NOR,CRY,$4000,M,550,15.38
Mario Vrancic,NOR,CRY,$5400,M,550,15.38
Abdoulaye Doucoure,WAT,WLV,$3300,M,600,14.29
Pierre-Emile Hojbjerg,SOU,TOT,$4200,M,600,14.29
James McArthur,CRY,NOR,$4500,M,600,14.29
Domingos Quina,WAT,WLV,$3000,M,600,14.29
Joao Cancelo,MCI,EVE,$5100,D,650,13.33
Anthony Gordon,EVE,MCI,$3000,M,650,13.33
Wilfred Ndidi,LEI,NEW,$3800,M,650,13.33
Angelo Ogbonna,WHU,BOU,$3300,D,650,13.33
Ricardo Pereira,LEI,NEW,$5000,D,650,13.33
Matt Ritchie,NEW,LEI,$6100,M,650,13.33
Christian Atsu,NEW,LEI,$3500,M,700,12.50
Moussa Sissoko,TOT,SOU,$4000,M,700,12.50
Theo Walcott,EVE,MCI,$5100,M/F,700,12.50
Philip Billing,BOU,WHU,$3300,M,750,11.76
Leander Dendoncker,WLV,WAT,$3700,M,750,11.76
Eric Garcia,MCI,EVE,$3200,D,750,11.76
Cheikhou Kouyate,CRY,NOR,$4300,M,750,11.76
James McCarthy,CRY,NOR,$3600,M,750,11.76
Romain Saiss,WLV,WAT,$3900,M,750,11.76
Andrew Surman,BOU,WHU,$3800,M,750,11.76
Angelino,MCI,EVE,$5500,D,750,11.76
Alexander Tettey,NOR,CRY,$3600,M,750,11.76
Hamza Choudhury,LEI,NEW,$3000,M,800,11.11
Eric Dier,TOT,SOU,$3700,M,800,11.11
Tom Dele-Bashiru,WAT,WLV,$3200,M,850,10.53
Sean Longstaff,NEW,LEI,$4400,M,850,10.53
Ki Sung-yueng,NEW,LEI,$3600,M,850,10.53
Ruben Vinagre,WLV,WAT,$3700,D,850,10.53
Fabian Balbuena,WHU,BOU,$3200,D,900,10.00
Etienne Capoue,WAT,WLV,$4100,M,900,10.00
Lewis Cook,BOU,WHU,$3500,M,900,10.00
Christian Fuchs,LEI,NEW,$4300,D,900,10.00
Jefferson Lerma,BOU,WHU,$3700,M,900,10.00
Wes Morgan,LEI,NEW,$3500,D,900,10.00
Fernandinho,MCI,EVE,$4100,M,900,10.00
Carlos Sanchez,WHU,BOU,$3700,M,900,10.00
John Stones,MCI,EVE,$3300,D,900,10.00
Craig Dawson,WAT,WLV,$2700,D,950,9.52
Fabian Schar,NEW,LEI,$4200,D,950,9.52
Tom Trybull,NOR,CRY,$3300,M,950,9.52
Jetro Willems,NEW,LEI,$4400,D,950,9.52
Daniel Amartey,LEI,NEW,$3300,D,1000,9.09
Leighton Baines,EVE,MCI,$3700,D,1000,9.09
Nathaniel Chalobah,WAT,WLV,$3700,M,1000,9.09
Ben Chilwell,LEI,NEW,$4800,D,1000,9.09
Jonny Evans,LEI,NEW,$3600,D,1000,9.09
Federico Fernandez,NEW,LEI,$3600,D,1000,9.09
James Justin,LEI,NEW,$3800,D,1000,9.09
Nampalys Mendy,LEI,NEW,$3200,M,1000,9.09
Winston Reid,WHU,BOU,$3100,D,1000,9.09
Declan Rice,WHU,BOU,$3600,M,1000,9.09
Oriol Romeu,SOU,TOT,$3700,M,1000,9.09
Caglar Soyuncu,LEI,NEW,$3400,D,1000,9.09
James Tomkins,CRY,NOR,$3800,D,1000,9.09
Ciaran Clark,NEW,LEI,$3100,D,1100,8.33
Lucas Digne,EVE,MCI,$5300,D,1100,8.33
Arthur Masuaku,WHU,BOU,$3900,D,1100,8.33
Jairo Riedewald,CRY,NOR,$3400,M,1100,8.33
Cedric Soares,SOU,TOT,$4100,D,1100,8.33
Kyle Walker,MCI,EVE,$4400,D,1100,8.33
Isaac Hayden,NEW,LEI,$3300,M,1200,7.69
Ibrahim Amadou,NOR,CRY,$3000,M,1300,7.14
Tom Davies,EVE,MCI,$3100,M,1300,7.14
Fabian Delph,EVE,MCI,$3700,M,1300,7.14
Grant Hanley,NOR,CRY,$3300,D,1300,7.14
Yerry Mina,EVE,MCI,$2700,D,1300,7.14
Sam Woods,CRY,NOR,$3100,D,1300,7.14
Jonny,WLV,WAT,$4200,D,1400,6.67
Steve Cook,BOU,WHU,$3300,D,1400,6.67
Juan Foyth,TOT,SOU,$3100,D,1400,6.67
Christian Kabasele,WAT,WLV,$3300,D,1400,6.67
Moritz Leitner,NOR,CRY,$3800,M,1400,6.67
Benjamin Mendy,MCI,EVE,$4900,D,1400,6.67
Morgan Schneiderlin,EVE,MCI,$3600,M,1400,6.67
Jesus Vallejo,WLV,WAT,$3200,D,1400,6.67
Jan Vertonghen,TOT,SOU,$3800,D,1400,6.67
Harry Winks,TOT,SOU,$3600,M,1400,6.67
Toby Alderweireld,TOT,SOU,$3400,D,1500,6.25
Issa Diop,WHU,BOU,$2900,D,1500,6.25
Chris Mepham,BOU,WHU,$3200,D,1500,6.25
Oliver Skipp,TOT,SOU,$3500,M,1500,6.25
Christoph Zimmermann,NOR,CRY,$3200,D,1500,6.25
Ryan Bennett,WLV,WAT,$2500,D,1600,5.88
Craig Cathcart,WAT,WLV,$3000,D,1600,5.88
Kevin Danso,SOU,TOT,$3500,D,1600,5.88
Akin Famewo,NOR,CRY,$2700,D,1600,5.88
Dimitri Foulquier,WAT,WLV,$3600,D,1600,5.88
Max Kilman,WLV,WAT,$2600,D,1600,5.88
Maya Yoshida,SOU,TOT,$3100,D,1600,5.88
Serge Aurier,TOT,SOU,$5400,D,1700,5.56
Lloyd Kelly,BOU,WHU,$2500,D,1700,5.56
Danny Rose,TOT,SOU,$4600,D,1700,5.56
Jack Simpson,BOU,WHU,$2800,D,1700,5.56
Yan Valery,SOU,TOT,$3400,D,1700,5.56
Adam Masina,WAT,WLV,$3500,D,1900,5.00
Diego Rico,BOU,WHU,$5200,D,1900,5.00
Jannik Vestergaard,SOU,TOT,$2900,D,1900,5.00
Max Aarons,NOR,CRY,$3900,D,2000,4.76
Florian Lejeune,NEW,LEI,$3200,D,2100,4.55
Djibril Sidibe,EVE,MCI,$4700,D,2100,4.55
Jack Stacey,BOU,WHU,$3700,D,2100,4.55
Mamadou Sakho,CRY,NOR,$3200,D,2200,4.35
Davinson Sanchez,TOT,SOU,$3200,D,2200,4.35
Jack Stephens,SOU,TOT,$3200,D,2200,4.35
Kyle Walker-Peters,TOT,SOU,$4300,D,2200,4.35
Kiko Femenia,WAT,WLV,$3800,D,2300,4.17
Ryan Bertrand,SOU,TOT,$3900,D,2500,3.85
Michael Keane,EVE,MCI,$3100,D,2500,3.85
Ryan Fredericks,WHU,BOU,$4000,D,2600,3.70
Pablo Zabaleta,WHU,BOU,$3400,D,2600,3.70
Sam Byram,NOR,CRY,$3400,D,2700,3.57
Seamus Coleman,EVE,MCI,$3500,D,2700,3.57
Mason Holgate,EVE,MCI,$3000,D,2700,3.57
Jamal Lewis,NOR,CRY,$3500,D,2700,3.57
Simon Francis,BOU,WHU,$3600,D,2800,3.45
Martin Kelly,CRY,NOR,$3500,D,2900,3.33
Jan Bednarek,SOU,TOT,$2700,D,3000,3.23
Conor Coady,WLV,WAT,$3300,D,3100,3.13
Paul Dummett,NEW,LEI,$3400,D,3100,3.13
Emil Krafth,NEW,LEI,$2800,D,3100,3.13
DeAndre Yedlin,NEW,LEI,$3700,D,3100,3.13
Javier Manquillo,NEW,LEI,$3800,D,4100,2.38
Cuco Martina,EVE,MCI,$3500,D,4100,2.38
