Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
M/F,Andros Townsend (14020013),Andros Townsend,14020013,M/F/UTIL,6000,CRY vs WHU 10:00AM ET,CRY,6.41
F,Cenk Tosun (14019834),Cenk Tosun,14019834,F/UTIL,6000,EVE vs BUR 10:00AM ET,EVE,6.44
D,Diego Rico (14020129),Diego Rico,14020129,D/UTIL,5900,BOU vs ARS 10:00AM ET,BOU,11.78
M,Felipe Anderson (14019932),Felipe Anderson,14019932,M/UTIL,5900,CRY vs WHU 10:00AM ET,WHU,8.99
F,Jordan Ayew (14020002),Jordan Ayew,14020002,F/UTIL,5900,CRY vs WHU 10:00AM ET,CRY,8.03
M/F,Theo Walcott (14019846),Theo Walcott,14019846,M/F/UTIL,5900,EVE vs BUR 10:00AM ET,EVE,5.57
M,Dani Ceballos (14019652),Dani Ceballos,14019652,M/UTIL,5800,BOU vs ARS 10:00AM ET,ARS,8.42
F,Callum Wilson (14020177),Callum Wilson,14020177,F/UTIL,5800,BOU vs ARS 10:00AM ET,BOU,6.77
GK,Kepa Arrizabalaga (14019685),Kepa Arrizabalaga,14019685,GK,5800,CHE vs SOU 10:00AM ET,CHE,5.47
M/F,Callum Robinson (14020286),Callum Robinson,14020286,M/F/UTIL,5800,SHU vs WAT 10:00AM ET,SHU,3.57
M,Todd Cantwell (14020040),Todd Cantwell,14020040,M/UTIL,5700,AVL vs NOR 10:00AM ET,NOR,9.37
GK,Willy Caballero (14019686),Willy Caballero,14019686,GK,5700,CHE vs SOU 10:00AM ET,CHE,0
GK,Jamie Cumming (14019687),Jamie Cumming,14019687,GK,5700,CHE vs SOU 10:00AM ET,CHE,0
D, Emerson (14019690), Emerson,14019690,D/UTIL,5700,CHE vs SOU 10:00AM ET,CHE,9.46
F,Andriy Yarmolenko (14019952),Andriy Yarmolenko,14019952,F/UTIL,5700,CRY vs WHU 10:00AM ET,WHU,6.79
M,Victor Camarasa (14019984),Victor Camarasa,14019984,M/UTIL,5700,CRY vs WHU 10:00AM ET,CRY,0.06
M,John Lundstram (14020264),John Lundstram,14020264,M/UTIL,5700,SHU vs WAT 10:00AM ET,SHU,8.46
M/F,Bukayo Saka (14019682),Bukayo Saka,14019682,M/F/UTIL,5600,BOU vs ARS 10:00AM ET,ARS,4.41
F,Jonathan Kodjia (14019785),Jonathan Kodjia,14019785,F/UTIL,5600,AVL vs NOR 10:00AM ET,AVL,-0.2
M,Sofiane Boufal (14019879),Sofiane Boufal,14019879,M/UTIL,5600,CHE vs SOU 10:00AM ET,SOU,5.42
M/F,Alex Iwobi (14019849),Alex Iwobi,14019849,M/F/UTIL,5600,EVE vs BUR 10:00AM ET,EVE,6.09
F,Troy Deeney (14020112),Troy Deeney,14020112,F/UTIL,5600,SHU vs WAT 10:00AM ET,WAT,5.73
D,George Baldock (14020244),George Baldock,14020244,D/UTIL,5600,SHU vs WAT 10:00AM ET,SHU,9.5
M,Junior Stanislas (14020155),Junior Stanislas,14020155,M/UTIL,5500,BOU vs ARS 10:00AM ET,BOU,0
F,Joshua King (14020179),Joshua King,14020179,F/UTIL,5500,BOU vs ARS 10:00AM ET,BOU,7.65
D,Reece James (14019692),Reece James,14019692,D/UTIL,5500,CHE vs SOU 10:00AM ET,CHE,5.99
GK,Jordan Pickford (14019795),Jordan Pickford,14019795,GK,5500,EVE vs BUR 10:00AM ET,EVE,4.79
F,Chris Wood (14020226),Chris Wood,14020226,F/UTIL,5500,EVE vs BUR 10:00AM ET,BUR,8.81
M,Oliver Norwood (14020266),Oliver Norwood,14020266,M/UTIL,5500,SHU vs WAT 10:00AM ET,SHU,7.88
D,Cesar Azpilicueta (14019694),Cesar Azpilicueta,14019694,D/UTIL,5400,CHE vs SOU 10:00AM ET,CHE,8.20
M,Pablo Fornals (14019934),Pablo Fornals,14019934,M/UTIL,5400,CRY vs WHU 10:00AM ET,WHU,5.76
GK,Maarten Stekelenburg (14019796),Maarten Stekelenburg,14019796,GK,5400,EVE vs BUR 10:00AM ET,EVE,0
GK,Jonas Lossl (14019797),Jonas Lossl,14019797,GK,5400,EVE vs BUR 10:00AM ET,EVE,0
F,Moise Kean (14019836),Moise Kean,14019836,F/UTIL,5400,EVE vs BUR 10:00AM ET,EVE,2.20
GK,Dean Henderson (14020241),Dean Henderson,14020241,GK,5400,SHU vs WAT 10:00AM ET,SHU,7.94
D,Frederic Guilbert (14019747),Frederic Guilbert,14019747,D/UTIL,5300,AVL vs NOR 10:00AM ET,AVL,8.31
M,Onel Hernandez (14020042),Onel Hernandez,14020042,M/UTIL,5300,AVL vs NOR 10:00AM ET,NOR,6.74
M,N'Golo Kante (14019716),N'Golo Kante,14019716,M/UTIL,5300,CHE vs SOU 10:00AM ET,CHE,8.15
M/F,Johann Gudmundsson (14020235),Johann Gudmundsson,14020235,M/F/UTIL,5300,EVE vs BUR 10:00AM ET,BUR,10.66
F,Danny Welbeck (14020114),Danny Welbeck,14020114,F/UTIL,5300,SHU vs WAT 10:00AM ET,WAT,2.74
GK,Simon Moore (14020242),Simon Moore,14020242,GK,5300,SHU vs WAT 10:00AM ET,SHU,-1.92
GK,Michael Verrips (14020243),Michael Verrips,14020243,GK,5300,SHU vs WAT 10:00AM ET,SHU,0
GK,Bernd Leno (14019621),Bernd Leno,14019621,GK,5200,BOU vs ARS 10:00AM ET,ARS,7.83
F,Tyreece John-Jules (14019672),Tyreece John-Jules,14019672,F/UTIL,5200,BOU vs ARS 10:00AM ET,ARS,0
M/F,Keinan Davis (14019789),Keinan Davis,14019789,M/F/UTIL,5200,AVL vs NOR 10:00AM ET,AVL,1.76
F,Christian Benteke (14020004),Christian Benteke,14020004,F/UTIL,5200,CRY vs WHU 10:00AM ET,CRY,2.75
D,Enda Stevens (14020246),Enda Stevens,14020246,D/UTIL,5200,SHU vs WAT 10:00AM ET,SHU,8.74
GK,Emiliano Martinez (14019622),Emiliano Martinez,14019622,GK,5100,BOU vs ARS 10:00AM ET,ARS,0
GK,Matt Macey (14019623),Matt Macey,14019623,GK,5100,BOU vs ARS 10:00AM ET,ARS,0
D,Kieran Tierney (14019624),Kieran Tierney,14019624,D/UTIL,5100,BOU vs ARS 10:00AM ET,ARS,5.36
GK,Tom Heaton (14019743),Tom Heaton,14019743,GK,5100,AVL vs NOR 10:00AM ET,AVL,5.89
F,Josip Drmic (14020062),Josip Drmic,14020062,F/UTIL,5100,AVL vs NOR 10:00AM ET,NOR,2.14
M,Mateo Kovacic (14019718),Mateo Kovacic,14019718,M/UTIL,5100,CHE vs SOU 10:00AM ET,CHE,7.54
F,Ashley Barnes (14020228),Ashley Barnes,14020228,F/UTIL,5100,EVE vs BUR 10:00AM ET,BUR,8.87
M,Lucas Torreira (14019654),Lucas Torreira,14019654,M/UTIL,5000,BOU vs ARS 10:00AM ET,ARS,6.20
F,Arnaut Danjuma Groeneveld (14020181),Arnaut Danjuma Groeneveld,14020181,F/UTIL,5000,BOU vs ARS 10:00AM ET,BOU,3.35
GK,Jed Steer (14019744),Jed Steer,14019744,GK,5000,AVL vs NOR 10:00AM ET,AVL,0.02
GK,Lovre Kalinic (14019745),Lovre Kalinic,14019745,GK,5000,AVL vs NOR 10:00AM ET,AVL,0
GK,Ørjan Nyland (14019746),Ørjan Nyland,14019746,GK,5000,AVL vs NOR 10:00AM ET,AVL,2.32
D,Matt Targett (14019749),Matt Targett,14019749,D/UTIL,5000,AVL vs NOR 10:00AM ET,AVL,7.72
M,Moussa Djenepo (14019881),Moussa Djenepo,14019881,M/UTIL,5000,CHE vs SOU 10:00AM ET,SOU,8.03
F,Shane Long (14019893),Shane Long,14019893,F/UTIL,5000,CHE vs SOU 10:00AM ET,SOU,4.14
GK,Vicente Guaita (14019959),Vicente Guaita,14019959,GK,5000,CRY vs WHU 10:00AM ET,CRY,8.18
F,Leon Clarke (14020282),Leon Clarke,14020282,F/UTIL,5000,SHU vs WAT 10:00AM ET,SHU,1.06
F,Folarin Balogun (14019674),Folarin Balogun,14019674,F/UTIL,4900,BOU vs ARS 10:00AM ET,ARS,0
M,David Brooks (14020157),David Brooks,14020157,M/UTIL,4900,BOU vs ARS 10:00AM ET,BOU,0
F,Cameron Archer (14019787),Cameron Archer,14019787,F/UTIL,4900,AVL vs NOR 10:00AM ET,AVL,0
F,Dennis Srbeny (14020064),Dennis Srbeny,14020064,F/UTIL,4900,AVL vs NOR 10:00AM ET,NOR,2.22
M/F,Nathan Redmond (14019901),Nathan Redmond,14019901,M/F/UTIL,4900,CHE vs SOU 10:00AM ET,SOU,6.53
GK,Wayne Hennessey (14019960),Wayne Hennessey,14019960,GK,4900,CRY vs WHU 10:00AM ET,CRY,9.33
GK,Stephen Henderson (14019961),Stephen Henderson,14019961,GK,4900,CRY vs WHU 10:00AM ET,CRY,0
D,Patrick van Aanholt (14019962),Patrick van Aanholt,14019962,D/UTIL,4900,CRY vs WHU 10:00AM ET,CRY,7.77
M, Bernard (14019814), Bernard,14019814,M/UTIL,4900,EVE vs BUR 10:00AM ET,EVE,6.12
D,Ahmed El Mohamady (14019751),Ahmed El Mohamady,14019751,D/UTIL,4800,AVL vs NOR 10:00AM ET,AVL,6.36
M, Jorginho (14019720), Jorginho,14019720,M/UTIL,4800,CHE vs SOU 10:00AM ET,CHE,6.39
F,Michael Obafemi (14019895),Michael Obafemi,14019895,F/UTIL,4800,CHE vs SOU 10:00AM ET,SOU,0.86
M/F,Jay Rodriguez (14020238),Jay Rodriguez,14020238,M/F/UTIL,4800,EVE vs BUR 10:00AM ET,BUR,3.48
M,Tom Cleverley (14020094),Tom Cleverley,14020094,M/UTIL,4800,SHU vs WAT 10:00AM ET,WAT,7.87
M,Luke Freeman (14020268),Luke Freeman,14020268,M/UTIL,4800,SHU vs WAT 10:00AM ET,SHU,2.76
M,Henri Lansbury (14019775),Henri Lansbury,14019775,M/UTIL,4700,AVL vs NOR 10:00AM ET,AVL,0.38
M/F, Jota (14019792), Jota,14019792,M/F/UTIL,4700,AVL vs NOR 10:00AM ET,AVL,2.61
M,Kenny McLean (14020044),Kenny McLean,14020044,M/UTIL,4700,AVL vs NOR 10:00AM ET,NOR,7.68
F,Albian Ajeti (14019954),Albian Ajeti,14019954,F/UTIL,4700,CRY vs WHU 10:00AM ET,WHU,-0.06
M,James McArthur (14019986),James McArthur,14019986,M/UTIL,4700,CRY vs WHU 10:00AM ET,CRY,6.28
D,Jose Holebas (14020072),Jose Holebas,14020072,D/UTIL,4700,SHU vs WAT 10:00AM ET,WAT,7.51
F,Billy Sharp (14020284),Billy Sharp,14020284,F/UTIL,4700,SHU vs WAT 10:00AM ET,SHU,2.97
D,Ainsley Maitland-Niles (14019626),Ainsley Maitland-Niles,14019626,D/UTIL,4600,BOU vs ARS 10:00AM ET,ARS,6.63
F,Dominic Solanke (14020183),Dominic Solanke,14020183,F/UTIL,4600,BOU vs ARS 10:00AM ET,BOU,3.03
M/F,Jordon Ibe (14020185),Jordon Ibe,14020185,M/F/UTIL,4600,BOU vs ARS 10:00AM ET,BOU,3.19
D,Djibril Sidibe (14019800),Djibril Sidibe,14019800,D/UTIL,4600,EVE vs BUR 10:00AM ET,EVE,8.43
M,Roberto Pereyra (14020096),Roberto Pereyra,14020096,M/UTIL,4600,SHU vs WAT 10:00AM ET,WAT,5.88
M,Joseph Willock (14019656),Joseph Willock,14019656,M/UTIL,4500,BOU vs ARS 10:00AM ET,ARS,2.60
M,Douglas Luiz (14019777),Douglas Luiz,14019777,M/UTIL,4500,AVL vs NOR 10:00AM ET,AVL,5.39
M,Mario Vrancic (14020046),Mario Vrancic,14020046,M/UTIL,4500,AVL vs NOR 10:00AM ET,NOR,2.18
GK,David Martin (14019907),David Martin,14019907,GK,4500,CRY vs WHU 10:00AM ET,WHU,8.80
D,Aaron Cresswell (14019910),Aaron Cresswell,14019910,D/UTIL,4500,CRY vs WHU 10:00AM ET,WHU,9.87
D,Joel Ward (14019964),Joel Ward,14019964,D/UTIL,4500,CRY vs WHU 10:00AM ET,CRY,5.56
F,Oumar Niasse (14019838),Oumar Niasse,14019838,F/UTIL,4500,EVE vs BUR 10:00AM ET,EVE,-0.48
M,Ashley Westwood (14020210),Ashley Westwood,14020210,M/UTIL,4500,EVE vs BUR 10:00AM ET,BUR,7.80
M,Robbie Brady (14020212),Robbie Brady,14020212,M/UTIL,4500,EVE vs BUR 10:00AM ET,BUR,4.65
D,Adam Smith (14020131),Adam Smith,14020131,D/UTIL,4400,BOU vs ARS 10:00AM ET,BOU,6.42
GK,Tim Krul (14020016),Tim Krul,14020016,GK,4400,AVL vs NOR 10:00AM ET,NOR,6.42
F,Che Adams (14019897),Che Adams,14019897,F/UTIL,4400,CHE vs SOU 10:00AM ET,SOU,1.97
GK,Lukasz Fabianski (14019908),Lukasz Fabianski,14019908,GK,4400,CRY vs WHU 10:00AM ET,WHU,8.09
GK,Roberto Jimenez (14019909),Roberto Jimenez,14019909,GK,4400,CRY vs WHU 10:00AM ET,WHU,5.78
D,Martin Kelly (14019966),Martin Kelly,14019966,D/UTIL,4400,CRY vs WHU 10:00AM ET,CRY,4.30
D,Leighton Baines (14019802),Leighton Baines,14019802,D/UTIL,4400,EVE vs BUR 10:00AM ET,EVE,2.27
D,Kiko Femenia (14020074),Kiko Femenia,14020074,D/UTIL,4400,SHU vs WAT 10:00AM ET,WAT,5.69
D,Sead Kolasinac (14019628),Sead Kolasinac,14019628,D/UTIL,4300,BOU vs ARS 10:00AM ET,ARS,4.91
M,Granit Xhaka (14019658),Granit Xhaka,14019658,M/UTIL,4300,BOU vs ARS 10:00AM ET,ARS,3.89
GK,Aaron Ramsdale (14020125),Aaron Ramsdale,14020125,GK,4300,BOU vs ARS 10:00AM ET,BOU,7.55
GK,Michael McGovern (14020017),Michael McGovern,14020017,GK,4300,AVL vs NOR 10:00AM ET,NOR,2.69
GK,Ralf Fahrmann (14020018),Ralf Fahrmann,14020018,GK,4300,AVL vs NOR 10:00AM ET,NOR,0.1
GK,Archie Mair (14020019),Archie Mair,14020019,GK,4300,AVL vs NOR 10:00AM ET,NOR,0
M,Pierre-Emile Højbjerg (14019883),Pierre-Emile Højbjerg,14019883,M/UTIL,4300,CHE vs SOU 10:00AM ET,SOU,6.74
M,Jeffrey Schlupp (14019988),Jeffrey Schlupp,14019988,M/UTIL,4300,CRY vs WHU 10:00AM ET,CRY,6.27
F,James Daly (14020006),James Daly,14020006,F/UTIL,4300,CRY vs WHU 10:00AM ET,CRY,0
D,Seamus Coleman (14019804),Seamus Coleman,14019804,D/UTIL,4300,EVE vs BUR 10:00AM ET,EVE,6.03
M,Will Hughes (14020098),Will Hughes,14020098,M/UTIL,4300,SHU vs WAT 10:00AM ET,WAT,6.15
M,Matteo Guendouzi (14019660),Matteo Guendouzi,14019660,M/UTIL,4200,BOU vs ARS 10:00AM ET,ARS,6.33
GK,Artur Boruc (14020126),Artur Boruc,14020126,GK,4200,BOU vs ARS 10:00AM ET,BOU,0
GK,Mark Travers (14020127),Mark Travers,14020127,GK,4200,BOU vs ARS 10:00AM ET,BOU,0
GK,William Dennis (14020128),William Dennis,14020128,GK,4200,BOU vs ARS 10:00AM ET,BOU,0
D,Neil Taylor (14019753),Neil Taylor,14019753,D/UTIL,4200,AVL vs NOR 10:00AM ET,AVL,3.72
M,Marvelous Nakamba (14019779),Marvelous Nakamba,14019779,M/UTIL,4200,AVL vs NOR 10:00AM ET,AVL,5.30
D,Ryan Bertrand (14019855),Ryan Bertrand,14019855,D/UTIL,4200,CHE vs SOU 10:00AM ET,SOU,7.17
GK,Ben Foster (14020068),Ben Foster,14020068,GK,4200,SHU vs WAT 10:00AM ET,WAT,5.62
F,Andre Gray (14020116),Andre Gray,14020116,F/UTIL,4200,SHU vs WAT 10:00AM ET,WAT,3.58
D,Hector Bellerin (14019630),Hector Bellerin,14019630,D/UTIL,4100,BOU vs ARS 10:00AM ET,ARS,5.44
M,Andrew Surman (14020159),Andrew Surman,14020159,M/UTIL,4100,BOU vs ARS 10:00AM ET,BOU,0.49
M,Marco Stiepermann (14020048),Marco Stiepermann,14020048,M/UTIL,4100,AVL vs NOR 10:00AM ET,NOR,3.66
D,Cedric Soares (14019857),Cedric Soares,14019857,D/UTIL,4100,CHE vs SOU 10:00AM ET,SOU,6.32
M,Jack Wilshere (14019936),Jack Wilshere,14019936,M/UTIL,4100,CRY vs WHU 10:00AM ET,WHU,1.01
GK,Heurelho Gomes (14020069),Heurelho Gomes,14020069,GK,4100,SHU vs WAT 10:00AM ET,WAT,0
GK,Daniel Bachmann (14020070),Daniel Bachmann,14020070,GK,4100,SHU vs WAT 10:00AM ET,WAT,0
GK,Pontus Dahlberg (14020071),Pontus Dahlberg,14020071,GK,4100,SHU vs WAT 10:00AM ET,WAT,0
D,Daryl Janmaat (14020076),Daryl Janmaat,14020076,D/UTIL,4100,SHU vs WAT 10:00AM ET,WAT,7.05
F,Isaac Success (14020118),Isaac Success,14020118,F/UTIL,4100,SHU vs WAT 10:00AM ET,WAT,1.40
M,Dan Gosling (14020161),Dan Gosling,14020161,M/UTIL,4000,BOU vs ARS 10:00AM ET,BOU,4.76
D,Max Aarons (14020020),Max Aarons,14020020,D/UTIL,4000,AVL vs NOR 10:00AM ET,NOR,5.18
M,Faustino Anjorin (14019722),Faustino Anjorin,14019722,M/UTIL,4000,CHE vs SOU 10:00AM ET,CHE,0
F,Daniel N'Lundulu (14019899),Daniel N'Lundulu,14019899,F/UTIL,4000,CHE vs SOU 10:00AM ET,SOU,0
D,Ryan Fredericks (14019912),Ryan Fredericks,14019912,D/UTIL,4000,CRY vs WHU 10:00AM ET,WHU,6.25
M,James McCarthy (14019990),James McCarthy,14019990,M/UTIL,4000,CRY vs WHU 10:00AM ET,CRY,1.82
M,Dennis Adeniran (14019816),Dennis Adeniran,14019816,M/UTIL,4000,EVE vs BUR 10:00AM ET,EVE,0
GK,Nick Pope (14020188),Nick Pope,14020188,GK,4000,EVE vs BUR 10:00AM ET,BUR,6.49
D,Phil Bardsley (14020192),Phil Bardsley,14020192,D/UTIL,4000,EVE vs BUR 10:00AM ET,BUR,5.90
D,Erik Pieters (14020194),Erik Pieters,14020194,D/UTIL,4000,EVE vs BUR 10:00AM ET,BUR,7.44
D,Chris Basham (14020248),Chris Basham,14020248,D/UTIL,4000,SHU vs WAT 10:00AM ET,SHU,5.31
D,Calum Chambers (14019632),Calum Chambers,14019632,D/UTIL,3900,BOU vs ARS 10:00AM ET,ARS,6.11
D,Kurt Zouma (14019696),Kurt Zouma,14019696,D/UTIL,3900,CHE vs SOU 10:00AM ET,CHE,4.18
M,Mark Noble (14019938),Mark Noble,14019938,M/UTIL,3900,CRY vs WHU 10:00AM ET,WHU,4.55
M,Max Meyer (14019992),Max Meyer,14019992,M/UTIL,3900,CRY vs WHU 10:00AM ET,CRY,2.10
F,Connor Wickham (14020008),Connor Wickham,14020008,F/UTIL,3900,CRY vs WHU 10:00AM ET,CRY,-0.45
M,Anthony Gordon (14019818),Anthony Gordon,14019818,M/UTIL,3900,EVE vs BUR 10:00AM ET,EVE,0
M,Tom Davies (14019820),Tom Davies,14019820,M/UTIL,3900,EVE vs BUR 10:00AM ET,EVE,4.69
GK,Joe Hart (14020189),Joe Hart,14020189,GK,3900,EVE vs BUR 10:00AM ET,BUR,0
GK,Adam Legzdins (14020190),Adam Legzdins,14020190,GK,3900,EVE vs BUR 10:00AM ET,BUR,0
GK,Bailey Peacock-Farrell (14020191),Bailey Peacock-Farrell,14020191,GK,3900,EVE vs BUR 10:00AM ET,BUR,0
M,Muhamed Besic (14020270),Muhamed Besic,14020270,M/UTIL,3900,SHU vs WAT 10:00AM ET,SHU,1.15
D,Jack Stacey (14020133),Jack Stacey,14020133,D/UTIL,3800,BOU vs ARS 10:00AM ET,BOU,4.61
M,Jefferson Lerma (14020163),Jefferson Lerma,14020163,M/UTIL,3800,BOU vs ARS 10:00AM ET,BOU,4.36
D,Sam Byram (14020022),Sam Byram,14020022,D/UTIL,3800,AVL vs NOR 10:00AM ET,NOR,3.50
M,Moritz Leitner (14020050),Moritz Leitner,14020050,M/UTIL,3800,AVL vs NOR 10:00AM ET,NOR,5.15
F,Adam Idah (14020066),Adam Idah,14020066,F/UTIL,3800,AVL vs NOR 10:00AM ET,NOR,0
GK,Alex McCarthy (14019852),Alex McCarthy,14019852,GK,3800,CHE vs SOU 10:00AM ET,SOU,5.07
D,Mason Holgate (14019806),Mason Holgate,14019806,D/UTIL,3800,EVE vs BUR 10:00AM ET,EVE,5.48
D,Matthew Lowton (14020196),Matthew Lowton,14020196,D/UTIL,3800,EVE vs BUR 10:00AM ET,BUR,7.11
M,Etienne Capoue (14020100),Etienne Capoue,14020100,M/UTIL,3800,SHU vs WAT 10:00AM ET,WAT,4.81
D,Jack O'Connell (14020250),Jack O'Connell,14020250,D/UTIL,3800,SHU vs WAT 10:00AM ET,SHU,5.33
D,Simon Francis (14020135),Simon Francis,14020135,D/UTIL,3700,BOU vs ARS 10:00AM ET,BOU,2.30
D,Ezri Konsa Ngoyo (14019755),Ezri Konsa Ngoyo,14019755,D/UTIL,3700,AVL vs NOR 10:00AM ET,AVL,5.15
M,Billy Gilmour (14019724),Billy Gilmour,14019724,M/UTIL,3700,CHE vs SOU 10:00AM ET,CHE,0.84
GK,Angus Gunn (14019853),Angus Gunn,14019853,GK,3700,CHE vs SOU 10:00AM ET,SOU,3.47
GK,Harry Lewis (14019854),Harry Lewis,14019854,GK,3700,CHE vs SOU 10:00AM ET,SOU,0
D,Sam McQueen (14019859),Sam McQueen,14019859,D/UTIL,3700,CHE vs SOU 10:00AM ET,SOU,0
