,,,,,Game 18,,,Game 17,,,Game 16,,,Game 15,,,Game 14,,,Game 13,,,Game 12,,,Game 11,,,Game 10,,,Game 9,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
John McGinn,AVL,$7100,M,25,8,0,0,90,2,0,90,5,0,90,1,0,90,0,0,90,0,0,90,3,0,90,2,0,90,5,0,90,2,0,90,1,0,90,0,0,90,1,1,90,0,0,90,0,0,90,0,0,90,3,0,90,0,0
Anwar El Ghazi,AVL,$6900,M,14,68,1,0,80,0,0,90,3,0,0,0,0,18,0,0,90,1,0,90,3,1,90,1,0,6,0,0,76,0,0,64,0,0,70,1,0,86,0,1,90,2,0,0,0,0,13,0,0,75,2,1,90,0,0
Trezeguet,AVL,$6300,M,6,22,2,2,10,0,0,31,0,0,76,0,0,72,0,0,0,0,0,90,0,0,90,0,0,90,0,0,27,0,0,26,0,0,20,2,0,68,0,0,0,0,0,54,0,1,86,1,0,87,1,0,59,0,0
Matt Targett,AVL,$5000,D,3,90,0,0,90,0,0,78,3,0,90,0,0,90,0,0,90,0,0,45,0,0,90,0,0,90,0,0,90,0,1,90,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Rico,BOU,$5900,D,58,90,6,0,90,2,0,90,0,0,64,6,0,90,6,0,90,4,0,66,1,0,90,2,0,90,9,1,90,3,0,90,5,0,90,5,0,90,4,0,89,4,0,0,0,0,0,0,0,0,0,0,90,1,0
Ryan Fraser,BOU,$7300,M,55,90,3,0,90,4,0,90,1,0,26,2,0,63,4,0,90,3,0,90,7,0,90,1,0,90,4,0,90,6,0,27,1,0,0,0,0,27,1,0,33,2,1,90,2,0,90,4,0,90,4,0,90,6,1
Harry Wilson,BOU,$6400,M,12,0,0,0,0,0,0,0,0,0,90,3,0,27,0,1,45,0,0,66,0,1,86,2,1,29,0,1,69,0,1,79,0,0,77,1,0,63,0,0,57,0,2,64,2,0,53,2,1,76,2,0,0,0,0
Jordon Ibe,BOU,$4600,M/F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,22,0,0,0,0,0,0,0,0
Charlie Daniels,BOU,$3600,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,90,1,0,0,0,0
Joshua King,BOU,$5500,F,1,90,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,90,0,0,90,0,0,28,0,0,90,0,0,90,0,0,89,0,0,90,1,0,79,0,0,90,0,0,90,0,0,90,0,0
Lewis Cook,BOU,$3600,M,1,45,0,0,90,0,0,32,0,0,8,0,0,74,0,0,76,0,0,90,0,0,4,0,0,0,0,0,90,0,0,0,0,0,1,0,0,13,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Westwood,BUR,$4500,M,46,90,4,0,90,2,0,0,0,0,0,0,0,0,0,0,90,5,0,90,8,0,90,3,0,90,2,0,90,3,0,90,4,0,90,1,0,90,6,1,90,3,0,90,2,0,90,2,0,90,1,0,90,0,0
Dwight McNeil,BUR,$6400,M/F,41,82,2,0,90,2,0,90,1,0,75,1,1,90,3,0,90,2,0,90,3,0,59,1,0,90,2,0,90,2,0,90,1,0,90,2,2,79,2,0,90,3,0,90,6,0,86,3,0,90,4,0,84,1,0
Johann Berg Gudmundsson,BUR,$5300,M/F,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,72,4,0,90,2,0
Robbie Brady,BUR,$4500,M,6,8,1,0,0,0,0,71,0,0,15,0,0,77,1,0,0,0,0,1,0,0,31,3,1,6,1,0,65,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Hendrick,BUR,$3100,M,6,65,0,0,90,0,0,90,1,0,90,2,0,90,3,0,90,0,0,90,0,0,90,0,0,84,0,0,90,0,0,90,0,0,90,0,0,89,0,0,31,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Mason Mount,CHE,$7700,M,69,90,1,1,90,1,0,90,3,0,90,2,0,90,6,0,16,0,1,87,1,1,90,0,1,90,7,1,64,7,0,80,4,0,90,4,0,90,5,0,90,6,0,90,3,0,89,8,0,90,5,1,90,6,0
Willian,CHE,$10200,M/F,47,90,5,0,65,7,1,71,4,0,89,7,1,27,1,0,90,2,0,90,7,2,89,1,0,72,0,0,90,5,1,90,2,0,90,2,0,90,1,0,90,1,0,30,1,0,6,0,0,19,1,0,0,0,0
Emerson Palmieri,CHE,$5700,D,6,0,0,0,90,2,0,0,0,0,0,0,0,90,2,0,59,0,0,90,0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,90,0,0,90,1,0,90,0,0,90,0,0
Callum Hudson-Odoi,CHE,$8200,F,5,0,0,0,25,1,0,19,0,0,4,0,0,19,1,0,0,0,0,10,1,0,7,0,0,18,0,0,89,2,0,80,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Pulisic,CHE,$8600,M/F,4,0,0,0,65,0,0,90,0,0,86,0,0,90,0,0,90,0,0,80,0,0,83,4,0,90,0,0,26,0,0,10,0,0,0,0,0,0,0,0,0,0,0,90,0,0,84,0,0,71,0,0,32,0,0
Reece James,CHE,$5500,D,2,10,0,0,0,0,0,82,1,0,90,0,0,90,1,0,31,0,0,90,0,0,1,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Barkley,CHE,$6800,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,68,0,0,0,0,0,20,0,0,60,0,1,90,1,0,0,0,0,58,0,0
Marcos Alonso,CHE,$6000,D,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,90,0,0,90,0,0,90,0,0,75,1,0,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Luka Milivojevic,CRY,$6500,M,96,90,1,1,90,4,0,90,4,0,90,9,1,90,6,1,90,8,0,90,2,0,90,7,0,90,6,0,76,1,1,0,0,0,90,6,0,90,7,0,90,6,0,90,17,1,90,2,0,90,7,1,90,3,0
Patrick van Aanholt,CRY,$4900,D,20,90,6,0,0,0,0,0,0,0,29,0,0,90,0,0,90,2,0,90,0,0,90,3,0,90,4,0,90,1,0,90,4,0,90,0,0,90,0,1,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0
Andros Townsend,CRY,$6000,M/F,4,0,0,0,0,0,0,73,0,0,45,0,0,69,0,0,90,0,0,90,0,0,0,0,0,90,0,0,35,0,0,9,0,0,20,0,0,0,0,0,85,0,0,6,0,0,10,0,0,70,0,0,90,4,0
Lucas Digne,EVE,$6500,D,82,90,4,0,25,2,0,82,1,0,90,3,1,90,4,0,90,5,1,90,8,0,90,7,0,90,7,0,90,7,1,90,6,0,90,3,1,90,8,1,90,5,0,90,3,0,90,4,0,73,4,1,90,1,0
Gylfi Sigurdsson,EVE,$6800,M/F,44,90,4,1,0,0,0,90,1,0,90,4,0,90,2,0,90,3,0,90,4,0,6,1,0,60,0,0,3,0,0,59,3,1,90,5,0,90,5,0,71,2,0,90,7,0,61,1,0,90,1,0,79,1,0
Bernard,EVE,$4900,M,5,0,0,0,70,1,0,4,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,90,4,0,0,0,0,0,0,0,55,0,0,19,0,0,14,0,0,62,0,0,90,0,0,90,0,0
Leighton Baines,EVE,$4400,D,3,0,0,0,65,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theo Walcott,EVE,$5900,M/F,1,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,66,1,0,74,0,0,68,0,0,72,0,0,86,0,0,0,0,0,7,0,0,19,0,0,9,0,0,0,0,0,12,0,0,27,0,0,0,0,0
Morgan Schneiderlin,EVE,$3400,M,1,0,0,0,0,0,0,90,1,0,18,0,0,12,0,0,56,0,0,90,0,0,0,0,0,0,0,0,0,0,0,84,0,0,81,0,0,55,0,0,90,0,0,0,0,0,90,0,0,0,0,0,76,0,0
Alex Iwobi,EVE,$5600,M/F,1,11,0,0,90,0,0,90,0,0,90,1,0,78,0,0,34,0,0,16,0,0,90,0,0,72,0,0,87,0,0,90,0,0,67,0,0,35,0,0,90,0,0,76,0,0,29,0,0,0,0,0,0,0,0
Richarlison,EVE,$7500,M/F,1,90,0,0,90,0,0,71,0,0,90,0,0,90,0,0,90,0,0,89,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,81,0,0,90,0,0,78,1,0,63,0,0,90,0,0
Emiliano Buendia,NOR,$7400,M,86,90,7,0,89,5,1,90,11,0,7,0,0,7,3,0,10,0,0,62,5,0,90,3,1,90,2,0,90,7,0,90,10,0,90,7,0,90,3,0,83,5,1,90,4,0,90,3,0,90,9,0,90,2,1
Kenny McLean,NOR,$4700,M,18,90,0,1,90,0,0,90,0,0,90,2,0,90,5,0,88,10,0,90,1,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,12,0,0,9,0,0,0,0,0,90,0,0
Todd Cantwell,NOR,$5700,M,6,86,0,0,85,0,0,18,0,0,83,0,0,83,0,0,80,0,0,28,6,0,6,0,0,45,0,0,81,0,0,80,0,0,81,0,0,89,0,0,90,0,0,78,0,0,90,0,0,90,0,0,90,0,0
Onel Hernandez,NOR,$5300,M,1,3,0,0,5,0,0,72,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,45,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Oliver Norwood,SHU,$5500,M,58,82,3,0,86,1,0,65,1,0,72,4,1,90,4,0,90,3,0,90,2,0,90,2,0,63,0,0,85,5,0,90,4,0,77,4,0,64,2,0,90,7,0,90,4,0,90,4,1,90,6,0,90,2,0
John Fleck,SHU,$7200,M,47,0,0,0,90,2,0,90,0,0,90,5,0,90,1,0,90,4,0,90,4,0,90,5,0,90,5,0,90,3,0,90,5,0,90,1,0,90,1,0,90,7,0,0,0,0,0,0,0,29,1,0,90,3,0
Luke Freeman,SHU,$4800,M,7,53,1,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,90,3,0,61,3,0,12,0,0
John Lundstram,SHU,$5700,M,2,90,0,0,90,0,0,90,1,0,90,0,0,89,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,72,0,0,90,0,0,90,0,0,90,0,0,78,0,0
James Ward-Prowse,SOU,$6600,M,98,90,6,2,90,6,1,90,12,2,90,7,0,90,6,2,90,8,0,90,6,1,90,1,0,90,3,1,90,4,1,90,4,1,90,6,1,90,4,0,90,7,0,90,2,0,90,5,2,90,6,0,90,5,0
Ryan Bertrand,SOU,$4200,D,14,90,3,0,90,0,0,90,1,0,90,1,0,90,0,0,90,1,0,0,0,0,0,0,0,12,0,0,90,0,0,90,2,0,90,3,0,45,0,0,0,0,0,0,0,0,0,0,0,77,1,0,90,2,1
Sofiane Boufal,SOU,$5600,M,1,0,0,0,0,0,0,17,1,0,0,0,0,33,0,0,4,0,0,45,0,0,0,0,0,0,0,0,14,0,0,9,0,0,88,0,0,90,0,0,85,0,0,71,0,0,10,0,0,0,0,0,17,0,0
Gerard Deulofeu,WAT,$6800,F,52,90,0,0,90,4,0,90,10,0,77,5,0,67,3,0,90,4,2,70,1,0,90,2,0,90,6,0,86,0,2,31,0,0,45,3,0,77,4,1,90,4,0,8,1,0,74,1,0,79,3,0,45,1,0
Jose Holebas,WAT,$4700,D,44,0,0,0,0,0,0,0,0,0,0,0,0,90,5,0,90,6,0,88,4,0,0,0,0,0,0,0,90,2,0,90,0,0,90,3,0,90,0,0,78,3,1,0,0,0,90,9,0,90,6,0,90,6,0
Roberto Pereyra,WAT,$4600,M,11,13,0,0,0,0,0,77,0,1,0,0,0,0,0,0,0,0,0,31,0,0,90,0,0,90,1,0,84,0,0,90,7,0,45,2,0,57,0,0,27,0,0,90,0,0,0,0,0,90,1,0,45,0,2
Will Hughes,WAT,$4300,M,7,90,4,0,90,2,0,0,0,0,83,1,0,74,0,0,67,0,0,90,0,0,23,0,0,80,0,0,6,0,0,0,0,0,0,0,0,59,0,0,63,0,0,71,0,0,74,0,0,67,0,0,90,0,0
Tom Cleverley,WAT,$4800,M,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,4,0,86,0,0,11,0,0,0,0,0
Etienne Capoue,WAT,$3800,M,1,77,1,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,90,0,0,90,0,0,0,0,0,90,0,0,83,0,0,90,0,0
Nathaniel Chalobah,WAT,$3400,M,1,21,0,0,0,0,0,12,0,0,0,0,0,16,1,0,0,0,0,0,0,0,67,0,0,57,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
Kiko Femenia,WAT,$4400,D,1,90,0,0,90,0,0,90,0,0,90,0,0,82,0,0,90,0,0,0,0,0,15,0,0,0,0,0,19,0,0,0,0,0,0,0,0,90,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0
Robert Snodgrass,WHU,$6100,M,55,0,0,0,73,6,0,78,5,0,62,5,0,90,3,0,90,5,0,90,5,0,90,8,0,86,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,2,0,0,0,0,90,4,0,34,3,0
Manuel Lanzini,WHU,$6000,M,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,45,0,0,24,1,0,90,2,1,68,2,0,23,0,0,0,0,0,90,3,0,90,6,0,88,8,0,90,2,0,90,0,0
Pablo Fornals,WHU,$5400,M,14,0,0,0,90,2,0,90,0,0,90,0,0,83,0,0,34,0,0,64,0,0,0,0,0,12,0,0,63,0,0,22,2,0,67,6,0,90,3,0,28,1,0,2,0,0,12,0,0,77,0,0,45,0,0
Felipe Anderson,WHU,$5900,M,3,0,0,0,0,0,0,70,0,0,90,0,0,71,0,0,45,0,0,56,0,0,90,1,0,66,0,0,45,0,0,90,0,0,90,0,0,70,0,0,69,2,0,88,0,0,78,0,0,0,0,0,66,0,0
