,Matchup,,Daily,,Odds,
Andreas Christensen,CHE,AVL,$3400,D,1100,8.33
James Justin,LEI,WAT,$4200,D,1100,8.33
Moritz Leitner,NOR,SOU,$3600,M,1100,8.33
Wes Morgan,LEI,WAT,$3400,D,1100,8.33
Andrew Robertson,LIV,EVE,$5500,D,1100,8.33
Fikayo Tomori,CHE,AVL,$3500,D,1100,8.33
Tom Trybull,NOR,SOU,$3400,M,1100,8.33
Jesus Vallejo,WLV,WHU,$2500,D,1100,8.33
Ibrahim Amadou,NOR,SOU,$3000,M,1200,7.69
Daniel Amartey,LEI,WAT,$3200,D,1200,7.69
Fabian Balbuena,WHU,WLV,$3100,D,1200,7.69
Nathaniel Chalobah,WAT,LEI,$3200,M,1200,7.69
Kevin Danso,SOU,NOR,$3200,D,1200,7.69
Nampalys Mendy,LEI,WAT,$3500,M,1200,7.69
Morgan Schneiderlin,EVE,LIV,$3200,M,1200,7.69
Luke Shaw,MUN,TOT,$3800,D,1200,7.69
Caglar Soyuncu,LEI,WAT,$3900,D,1200,7.69
Alexander Tettey,NOR,SOU,$3800,M,1200,7.69
Harry Winks,TOT,MUN,$3500,M,1200,7.69
Maya Yoshida,SOU,NOR,$2900,D,1200,7.69
Ryan Bennett,WLV,WHU,$2600,D,1300,7.14
Jonny,WLV,WHU,$3900,D,1300,7.14
Dimitri Foulquier,WAT,LEI,$3500,D,1300,7.14
Juan Foyth,TOT,MUN,$2700,D,1300,7.14
Ben Godfrey,NOR,SOU,$2500,D,1300,7.14
Max Kilman,WLV,WHU,$2500,D,1300,7.14
Dejan Lovren,LIV,EVE,$3700,D,1300,7.14
Yerry Mina,EVE,LIV,$2500,D,1300,7.14
Yan Valery,SOU,NOR,$3500,D,1300,7.14
Ryan Bertrand,SOU,NOR,$5100,D,1400,6.67
Craig Cathcart,WAT,LEI,$2700,D,1400,6.67
Craig Dawson,WAT,LEI,$2500,D,1400,6.67
Christian Kabasele,WAT,LEI,$2500,D,1400,6.67
Marvelous Nakamba,AVL,CHE,$3900,M,1400,6.67
Jannik Vestergaard,SOU,NOR,$2700,D,1400,6.67
Christoph Zimmermann,NOR,SOU,$2700,D,1400,6.67
Cesar Azpilicueta,CHE,AVL,$4300,D,1500,6.25
Beni Baningime,EVE,LIV,$3000,M,1500,6.25
Axel Tuanzebe,MUN,TOT,$2500,D,1500,6.25
Serge Aurier,TOT,MUN,$5200,D,1600,5.88
Daryl Janmaat,WAT,LEI,$4400,D,1600,5.88
Carlos Sanchez,WHU,WLV,$3800,M,1600,5.88
Brandon Williams,MUN,TOT,$3300,D,1600,5.88
Seamus Coleman,EVE,LIV,$3600,D,1700,5.56
Declan Rice,WHU,WLV,$3400,M,1700,5.56
Jan Vertonghen,TOT,MUN,$3900,D,1700,5.56
Toby Alderweireld,TOT,MUN,$3000,D,1800,5.26
James Chester,AVL,CHE,$3100,D,1800,5.26
Bjorn Engels,AVL,CHE,$2900,D,1800,5.26
Arthur Masuaku,WHU,WLV,$3600,D,1800,5.26
Tyrone Mings,AVL,CHE,$2600,D,1800,5.26
Sebastian Prodl,WAT,LEI,$2500,D,1800,5.26
Jan Bednarek,SOU,NOR,$2500,D,1900,5.00
Michael Keane,EVE,LIV,$3000,D,1900,5.00
Danny Rose,TOT,MUN,$4100,D,1900,5.00
Jack Stephens,SOU,NOR,$2900,D,1900,5.00
Kyle Walker-Peters,TOT,MUN,$4300,D,1900,5.00
Max Aarons,NOR,SOU,$3200,D,2000,4.76
Sam Byram,NOR,SOU,$3500,D,2000,4.76
Victor Lindelof,MUN,TOT,$2900,D,2000,4.76
Kiko Femenia,WAT,LEI,$3800,D,2100,4.55
Kortney Hause,AVL,CHE,$2800,D,2100,4.55
Adam Masina,WAT,LEI,$3600,D,2100,4.55
Issa Diop,WHU,WLV,$2700,D,2200,4.35
Angelo Ogbonna,WHU,WLV,$3200,D,2200,4.35
Davinson Sanchez,TOT,MUN,$2500,D,2200,4.35
Akin Famewo,NOR,SOU,$2500,D,2300,4.17
Phil Jones,MUN,TOT,$2900,D,2300,4.17
Djibril Sidibe,EVE,LIV,$3800,D,2300,4.17
Adrian Mariappa,WAT,LEI,$3100,D,2500,3.85
Matt Targett,AVL,CHE,$4100,D,2500,3.85
Jamal Lewis,NOR,SOU,$3400,D,2600,3.70
Mason Holgate,EVE,LIV,$3100,D,2900,3.33
Aaron Wan-Bissaka,MUN,TOT,$4300,D,3100,3.13
Conor Coady,WLV,WHU,$2500,D,3200,3.03
Neil Taylor,AVL,CHE,$3400,D,4000,2.44
Ryan Fredericks,WHU,WLV,$3900,D,4300,2.27
Pablo Zabaleta,WHU,WLV,$3400,D,4300,2.27
