,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Youri Tielemans,LEI,$7200,M,1412,0.19,0.19,2.04,0.38,0.64,2.42,1.66,0.51,0.83,1.21,55.58
Dominic Solanke,BOU,$3800,F,754,0.00,0.00,2.03,0.60,0.48,0.24,1.07,0.36,0.84,1.19,25.54
Douglas Luiz,AVL,$3800,M,849,0.21,0.00,2.01,0.64,0.85,0.64,0.32,0.64,1.38,1.38,42.19
Jack Grealish,AVL,$8700,M,1254,0.29,0.29,2.01,0.72,0.72,3.09,2.66,1.08,0.86,4.74,42.42
Allan Saint-Maximin,NEW,$5400,M,820,0.11,0.00,1.98,0.99,0.33,2.52,1.43,0.22,0.77,1.87,16.35
Moussa Djenepo,SOU,$5800,M,469,0.38,0.19,1.92,0.77,0.96,1.54,0.58,1.92,1.92,3.07,21.68
Callum Robinson,SHU,$6100,M/F,582,0.15,0.15,1.86,0.62,0.93,1.86,0.31,0.15,1.39,0.62,18.09
Conor Hourihane,AVL,$5700,M,582,0.31,0.31,1.86,0.77,0.62,5.88,1.86,0.62,1.24,1.39,35.41
Joelinton,NEW,$5700,F,1192,0.08,0.08,1.81,0.45,0.60,0.00,1.13,0.53,0.91,1.13,27.03
Onel Hernandez,NOR,$3900,M,596,0.15,0.15,1.81,0.60,1.36,2.72,1.51,0.91,0.60,0.91,20.54
Marc Albrighton,LEI,$5100,M,205,0.00,0.44,1.76,0.44,0.88,7.02,3.95,1.76,1.76,1.32,56.20
Demarai Gray,LEI,$3900,M,205,0.00,0.44,1.76,0.88,1.32,3.51,2.63,1.32,0.44,1.76,39.95
James Ward-Prowse,SOU,$8000,M,1440,0.25,0.06,1.75,0.75,1.44,6.19,1.56,0.75,1.31,1.00,38.13
Miguel Almiron,NEW,$5900,M/F,1345,0.00,0.07,1.74,0.40,0.80,0.87,0.74,1.00,0.87,1.87,22.88
Johann Berg Gudmundsson,BUR,$6700,M/F,312,0.29,0.00,1.73,0.58,1.44,5.77,2.02,0.00,0.29,0.29,16.15
Manuel Lanzini,WHU,$6100,M,731,0.00,0.25,1.72,0.37,0.62,3.20,2.59,0.49,0.12,1.72,55.65
Todd Cantwell,NOR,$4500,M,1112,0.32,0.16,1.70,0.81,0.81,0.65,1.70,0.81,1.29,2.02,37.72
Wesley Moraes,AVL,$4900,F,1380,0.26,0.07,1.70,0.98,0.26,0.33,0.59,0.33,2.28,0.72,17.35
Robbie Brady,BUR,$4400,M,274,0.33,0.66,1.64,0.33,0.66,2.96,2.63,1.31,1.31,0.33,24.31
Marco Stiepermann,NOR,$3900,M,833,0.00,0.00,1.62,0.43,0.54,0.43,1.08,0.65,1.62,1.30,31.22
Pablo Fornals,WHU,$4500,M,779,0.00,0.23,1.62,0.35,0.58,3.23,1.04,1.27,0.81,0.69,35.01
John Lundstram,SHU,$4800,M,1409,0.19,0.06,1.60,0.45,1.28,2.04,0.89,1.09,0.96,0.45,44.97
Callum Wilson,BOU,$4700,F,1376,0.33,0.00,1.50,0.72,0.20,0.92,1.18,0.33,1.83,0.72,14.32
Felipe Anderson,WHU,$5000,M,1084,0.00,0.25,1.49,0.58,1.41,2.16,1.58,2.08,0.91,1.41,58.04
Olivier Giroud,CHE,$7600,F,191,0.00,0.00,1.41,0.94,0.00,0.94,1.88,0.00,1.88,0.94,24.03
Pierre-Emile Hojbjerg,SOU,$4500,M,1277,0.00,0.00,1.41,0.28,1.62,0.63,1.27,1.62,1.97,1.13,59.06
Dwight McNeil,BUR,$7300,M/F,1373,0.07,0.26,1.31,0.39,0.66,7.08,1.38,0.79,0.72,1.18,23.14
Stuart Armstrong,SOU,$3600,M,350,0.00,0.00,1.29,0.77,0.77,1.03,0.00,0.26,1.54,1.29,25.71
Philip Billing,BOU,$3200,M,1219,0.00,0.07,1.26,0.30,2.58,0.52,0.37,1.48,1.48,0.52,48.36
Ryan Fraser,BOU,$5200,M,1076,0.08,0.25,1.25,0.50,0.59,7.78,1.67,0.33,0.67,1.67,32.70
Dennis Praet,LEI,$4600,M,431,0.00,0.21,1.25,0.00,1.25,1.88,0.63,1.67,1.88,1.04,44.90
Emiliano Buendia,NOR,$6200,M,1159,0.00,0.31,1.24,0.31,0.62,6.60,2.80,1.16,1.01,1.71,53.43
N'Golo Kante,CHE,$5500,M,674,0.40,0.00,1.20,0.40,2.80,1.34,1.87,0.67,2.14,0.53,61.82
John Fleck,SHU,$6500,M,1199,0.15,0.08,1.20,0.53,0.90,5.25,1.88,1.05,0.90,0.30,37.61
Fabian Schar,NEW,$3400,D,840,0.11,0.00,1.18,0.21,2.57,0.21,0.00,1.18,1.61,0.75,36.32
Tom Trybull,NOR,$3400,M,767,0.00,0.00,1.17,0.12,1.29,0.00,0.23,2.11,1.99,0.47,50.93
Joshua King,BOU,$4500,F,1006,0.27,0.18,1.16,0.63,0.54,0.72,1.43,0.36,1.43,1.25,22.46
Sean Longstaff,NEW,$4100,M,620,0.00,0.15,1.16,0.58,1.31,2.47,1.60,1.02,1.31,1.16,41.66
Sam Byram,NOR,$3500,D,547,0.00,0.00,1.15,0.16,1.81,0.66,0.00,1.65,0.99,0.66,41.63
Emerson Palmieri,CHE,$5500,D,704,0.00,0.00,1.15,0.64,1.92,3.45,1.53,1.41,0.26,1.53,65.45
Robert Snodgrass,WHU,$6300,M,730,0.25,0.12,1.11,0.62,0.49,9.37,2.34,0.86,1.48,2.47,35.01
Billy Sharp,SHU,$5100,F,253,0.36,0.00,1.07,0.71,0.36,1.07,3.20,0.71,3.20,2.49,28.10
Jeff Hendrick,BUR,$3300,M,1018,0.18,0.09,1.06,0.53,0.88,1.41,0.62,0.27,0.80,0.53,28.20
Kenny McLean,NOR,$4200,M,1189,0.08,0.08,1.06,0.45,1.14,2.27,0.98,1.14,0.98,2.20,51.09
Moritz Leitner,NOR,$3600,M,684,0.00,0.00,1.05,0.00,1.18,0.66,0.92,1.18,1.05,1.32,74.08
Aaron Cresswell,WHU,$4700,D,945,0.29,0.00,1.05,0.48,1.24,4.00,0.29,1.33,0.86,0.86,48.00
Jota,AVL,$4600,M/F,262,0.00,0.34,1.03,0.34,0.69,0.00,1.37,0.00,1.72,0.69,25.42
Matt Ritchie,NEW,$6900,M,270,0.00,0.00,1.00,0.33,1.67,7.67,2.33,1.33,1.67,1.33,34.33
Fabian Balbuena,WHU,$3100,D,631,0.14,0.00,1.00,0.43,1.28,0.14,0.14,1.00,0.71,0.14,46.21
Jetro Willems,NEW,$4800,D,1105,0.16,0.16,0.98,0.49,0.90,1.87,0.81,1.22,0.57,1.06,25.90
Simon Francis,BOU,$3500,D,189,0.00,0.00,0.95,0.00,1.90,3.81,0.48,1.90,0.48,0.00,60.48
Jefferson Lerma,BOU,$3600,M,1138,0.00,0.00,0.95,0.08,2.21,0.32,0.32,0.95,0.95,1.34,48.01
Christian Atsu,NEW,$4700,M,484,0.00,0.56,0.93,0.19,0.56,2.60,2.05,0.74,0.93,1.12,28.08
Nathan Ake,BOU,$3300,D,1385,0.06,0.06,0.91,0.19,1.49,0.19,0.32,0.91,0.32,0.58,49.78
Marcos Alonso,CHE,$5700,D,499,0.18,0.36,0.90,0.36,1.62,4.33,1.44,1.44,1.26,0.54,59.34
Yoshinori Muto,NEW,$4100,F,101,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.89,0.89,15.15
Wilfred Ndidi,LEI,$4100,M,1350,0.13,0.00,0.87,0.20,2.87,0.07,0.67,2.20,1.53,0.73,52.87
Federico Fernandez,NEW,$3900,D,653,0.28,0.14,0.83,0.55,1.38,1.79,0.28,1.52,0.83,0.28,30.74
Maya Yoshida,SOU,$2900,D,558,0.00,0.00,0.81,0.48,0.65,0.00,0.00,0.81,0.48,0.81,43.06
Andy Carroll,NEW,$5000,F,227,0.00,0.79,0.79,0.40,0.00,0.79,1.59,0.79,0.79,3.57,29.34
Hamza Choudhury,LEI,$3100,M,342,0.00,0.26,0.79,0.26,2.89,0.26,0.79,1.05,1.05,0.79,52.63
Kurt Zouma,CHE,$3700,D,1263,0.00,0.00,0.78,0.29,2.07,0.00,0.00,0.57,1.00,0.71,74.96
Mateo Kovacic,CHE,$4600,M,1151,0.08,0.16,0.78,0.23,0.94,0.39,1.33,1.72,0.39,2.27,85.93
Jannik Vestergaard,SOU,$2700,D,934,0.10,0.00,0.77,0.39,1.35,0.10,0.48,0.87,0.48,0.48,40.37
Mark Noble,WHU,$4300,M,1077,0.08,0.08,0.75,0.25,0.58,0.42,0.67,0.92,1.50,0.75,51.81
James Tarkowski,BUR,$3500,D,1440,0.06,0.06,0.75,0.19,2.06,0.13,0.38,1.19,1.19,0.94,36.13
Phil Bardsley,BUR,$4000,D,360,0.00,0.00,0.75,0.25,1.50,1.00,0.25,1.75,2.00,1.50,27.50
Oliver Norwood,SHU,$5600,M,1326,0.00,0.00,0.75,0.27,1.70,4.82,1.43,1.49,1.09,0.68,60.88
Jonny Evans,LEI,$4400,D,1412,0.06,0.06,0.70,0.19,1.34,0.06,0.13,0.96,0.25,0.57,64.31
Cedric Soares,SOU,$4100,D,661,0.00,0.00,0.68,0.27,1.36,3.68,0.82,1.50,0.95,0.14,35.67
Matthew Longstaff,NEW,$3300,M,269,0.33,0.00,0.67,0.33,0.67,0.33,0.67,0.00,1.00,0.00,39.81
Grant Hanley,NOR,$3000,D,270,0.00,0.00,0.67,0.33,1.00,0.00,0.00,0.67,0.67,0.67,47.67
Luke Freeman,SHU,$4400,M,271,0.00,0.00,0.66,0.00,2.99,4.32,1.00,1.33,1.99,1.66,34.21
Christian Fuchs,LEI,$4500,D,274,0.00,0.00,0.66,0.00,0.66,1.64,0.66,1.97,0.33,0.00,58.80
Reece James,CHE,$5200,D,412,0.00,0.22,0.66,0.00,1.09,5.46,0.66,1.31,1.53,2.18,52.86
Emil Krafth,NEW,$3100,D,418,0.00,0.00,0.65,0.00,0.86,1.94,0.00,1.08,0.65,0.65,24.33
Max Aarons,NOR,$3200,D,1260,0.00,0.00,0.64,0.14,0.43,1.14,0.64,1.00,1.00,1.57,37.29
Isaac Hayden,NEW,$3500,M,1123,0.00,0.08,0.64,0.16,1.68,0.80,0.48,1.28,0.72,0.72,27.81
Ryan Bertrand,SOU,$5100,D,854,0.11,0.11,0.63,0.11,1.48,3.79,1.05,0.74,0.63,1.16,38.47
Ahmed Elmohamady,AVL,$4200,D,431,0.00,0.21,0.63,0.00,1.67,6.06,2.30,0.63,0.84,0.42,45.10
Declan Rice,WHU,$3400,M,1440,0.00,0.00,0.63,0.25,2.31,0.25,0.25,1.81,0.94,0.19,50.00
Enda Stevens,SHU,$5000,D,1440,0.06,0.13,0.63,0.13,1.06,3.31,1.00,1.44,1.13,0.44,41.56
Ben Chilwell,LEI,$5300,D,1160,0.08,0.23,0.62,0.23,1.01,4.19,1.55,0.70,0.93,1.01,68.51
Ibrahim Amadou,NOR,$3000,M,731,0.00,0.00,0.62,0.00,1.97,0.12,0.12,1.35,0.86,0.25,43.58
Chris Mepham,BOU,$3200,D,451,0.20,0.00,0.60,0.40,2.39,0.40,0.00,1.00,1.00,0.60,45.10
Jack Cork,BUR,$3600,M,1203,0.00,0.00,0.60,0.22,0.90,0.30,0.52,0.90,0.82,0.75,31.27
Ciaran Clark,NEW,$3700,D,765,0.24,0.00,0.59,0.47,0.82,0.00,0.12,0.82,0.71,0.24,23.06
Lewis Cook,BOU,$3400,M,465,0.00,0.00,0.58,0.19,2.13,0.19,1.16,0.58,1.16,0.97,60.00
Steve Cook,BOU,$3000,D,1260,0.07,0.00,0.57,0.07,1.71,0.07,0.21,0.57,0.71,0.71,47.43
Diego Rico,BOU,$4900,D,1119,0.00,0.16,0.56,0.16,3.22,6.92,1.45,1.37,0.64,0.80,44.72
Caglar Soyuncu,LEI,$3900,D,1440,0.06,0.06,0.56,0.13,1.44,0.06,0.13,1.31,0.88,0.44,67.81
Jack O'Connell,SHU,$4000,D,1440,0.00,0.06,0.56,0.13,1.56,1.19,0.44,0.69,0.56,0.56,44.94
Erik Pieters,BUR,$3800,D,1144,0.00,0.24,0.55,0.08,1.57,2.05,0.79,1.81,0.87,0.87,37.45
Ben Mee,BUR,$3200,D,1440,0.00,0.00,0.50,0.25,1.69,0.13,0.31,0.69,0.50,0.88,38.88
Ricardo Pereira,LEI,$5600,D,1440,0.13,0.06,0.50,0.19,1.94,2.19,1.00,2.44,1.56,1.44,58.75
George Baldock,SHU,$5400,D,1440,0.13,0.19,0.50,0.25,0.75,3.81,0.56,1.06,1.00,1.31,29.19
Michael Obafemi,SOU,$5300,F,182,0.00,0.00,0.49,0.00,0.99,0.00,0.99,0.49,1.48,0.99,16.81
Jorginho,CHE,$4300,M,1092,0.08,0.16,0.49,0.08,1.98,0.33,0.99,1.73,1.24,0.99,82.58
Issa Diop,WHU,$2700,D,1144,0.00,0.00,0.47,0.24,1.73,0.08,0.08,0.79,1.34,0.63,39.57
Ashley Westwood,BUR,$4000,M,1170,0.00,0.15,0.46,0.00,0.69,3.92,1.46,1.00,1.62,0.92,47.08
Fikayo Tomori,CHE,$3500,D,990,0.09,0.00,0.45,0.18,1.73,0.00,0.36,1.27,0.45,0.45,79.55
Ben Godfrey,NOR,$2500,D,1400,0.00,0.00,0.45,0.13,1.16,0.06,0.00,0.71,0.32,0.13,55.93
Neil Taylor,AVL,$3400,D,613,0.00,0.00,0.44,0.00,1.32,1.17,0.15,0.88,0.88,0.59,37.59
Angelo Ogbonna,WHU,$3200,D,1080,0.17,0.00,0.42,0.33,0.58,0.08,0.08,0.75,0.83,0.50,33.50
Jack Stacey,BOU,$3700,D,438,0.00,0.00,0.41,0.21,1.23,1.44,0.21,1.23,0.21,0.62,38.01
Andreas Christensen,CHE,$3400,D,672,0.00,0.00,0.40,0.13,1.47,0.00,0.13,0.67,0.80,0.80,57.72
Alexander Tettey,NOR,$3800,M,685,0.13,0.13,0.39,0.13,1.71,0.13,0.13,0.79,0.13,0.13,50.98
Arthur Masuaku,WHU,$3600,D,473,0.00,0.19,0.38,0.00,1.90,2.09,1.14,2.47,1.33,0.95,51.95
Jamaal Lascelles,NEW,$2600,D,1002,0.09,0.00,0.36,0.09,1.44,0.00,0.09,0.09,0.90,0.54,26.77
Cesar Azpilicueta,CHE,$4300,D,1260,0.00,0.14,0.36,0.07,1.50,2.71,1.36,1.43,1.00,0.21,63.36
Oriol Romeu,SOU,$3900,M,1064,0.00,0.00,0.34,0.00,1.44,0.34,0.59,2.20,1.52,0.51,48.98
Jamal Lewis,NOR,$3400,D,1064,0.00,0.00,0.34,0.17,0.93,1.61,0.59,0.85,0.68,1.18,44.66
Frederic Guilbert,AVL,$4500,D,1066,0.00,0.17,0.34,0.08,2.20,4.64,0.59,1.94,1.52,1.01,32.42
Kevin Danso,SOU,$3200,D,276,0.00,0.33,0.33,0.00,0.65,1.30,0.65,0.98,1.30,0.65,42.72
Marvelous Nakamba,AVL,$3900,M,834,0.00,0.00,0.32,0.11,2.16,0.00,0.86,1.83,1.08,1.51,37.99
Yan Valery,SOU,$3500,D,558,0.00,0.00,0.32,0.16,1.13,1.45,0.32,0.65,0.48,0.97,26.61
John Egan,SHU,$3500,D,1339,0.00,0.00,0.27,0.07,1.81,0.13,0.00,0.94,0.94,0.54,35.35
Tyrone Mings,AVL,$2600,D,1373,0.07,0.07,0.26,0.13,0.85,0.33,0.33,0.33,0.52,0.20,43.85
Bjorn Engels,AVL,$2900,D,1042,0.00,0.00,0.26,0.00,1.38,0.09,0.00,0.35,0.35,0.26,38.95
Aaron Lennon,BUR,$3800,M,361,0.00,0.00,0.25,0.00,1.25,1.25,0.50,1.25,1.50,1.50,22.94
Matt Targett,AVL,$4100,D,815,0.11,0.22,0.22,0.11,2.21,2.76,1.55,1.21,0.88,0.55,37.33
Adam Smith,BOU,$3600,D,840,0.00,0.11,0.21,0.11,0.64,1.29,0.43,1.39,1.18,2.14,42.11
Chris Basham,SHU,$3800,D,1386,0.00,0.00,0.19,0.00,1.88,0.84,0.19,1.49,0.78,1.10,35.26
Ezri Konsa,AVL,$3300,D,465,0.00,0.19,0.19,0.19,1.35,0.19,0.19,0.77,0.39,1.55,29.81
Javier Manquillo,NEW,$4600,D,485,0.00,0.19,0.19,0.00,1.30,2.23,0.37,1.86,1.11,0.93,18.74
Paul Dummett,NEW,$3600,D,1036,0.00,0.00,0.17,0.17,1.65,0.43,0.09,1.30,0.35,0.35,31.19
DeAndre Yedlin,NEW,$4300,D,556,0.16,0.00,0.16,0.16,0.81,3.08,0.49,1.29,0.97,0.97,23.63
Jan Bednarek,SOU,$2500,D,1438,0.00,0.00,0.13,0.00,2.00,0.00,0.06,1.25,0.75,0.31,41.37
Matthew Lowton,BUR,$3700,D,1080,0.00,0.08,0.08,0.00,1.92,3.08,0.92,1.25,0.92,0.67,34.33
Charlie Taylor,BUR,$3300,D,296,0.00,0.00,0.00,0.00,1.22,2.74,0.61,0.91,0.61,1.52,31.93
Charlie Daniels,BOU,$3800,D,127,0.00,0.00,0.00,0.00,0.71,3.54,1.42,0.71,0.00,0.00,26.22
Ki Sung-yueng,NEW,$3700,M,136,0.00,0.00,0.00,0.00,1.99,3.31,1.32,0.66,0.66,1.99,43.68
Christoph Zimmermann,NOR,$2700,D,396,0.00,0.23,0.00,0.00,0.91,0.00,0.23,0.91,0.45,1.14,47.27
Pablo Zabaleta,WHU,$3400,D,199,0.00,0.00,0.00,0.00,1.81,4.07,0.45,1.36,0.90,1.81,52.91
Albian Ajeti,WHU,$4800,F,101,0.00,0.00,0.00,0.00,0.00,0.00,1.78,0.00,4.46,0.00,10.69
Ryan Fredericks,WHU,$3900,D,1268,0.00,0.07,0.00,0.00,0.99,2.20,0.85,1.92,0.99,0.78,36.91
Jack Wilshere,WHU,$4000,M,175,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.57,32.91
Jack Stephens,SOU,$2900,D,658,0.00,0.14,0.00,0.00,1.23,0.00,0.14,0.82,0.27,0.41,43.09
Phil Jagielka,SHU,$3200,D,128,0.00,0.00,0.00,0.00,0.70,0.70,0.00,2.11,0.70,0.70,28.13
