,Matchup,,Daily,,Odds,
Sofiane Boufal,SOU,AVL,$6500,M,410,19.61
Pascal Gross,BHA,SHU,$8900,M/F,410,19.61
Aaron Mooy,BHA,SHU,$5500,M,440,18.52
Jordon Ibe,BOU,BUR,$4600,M/F,460,17.86
Andros Townsend,CRY,NEW,$5800,M/F,460,17.86
Christian Atsu,NEW,CRY,$4800,M,500,16.67
Yves Bissouma,BHA,SHU,$4100,M,500,16.67
Shane Duffy,BHA,SHU,$2900,D,500,16.67
Dan Gosling,BOU,BUR,$4500,M,500,16.67
Sean Longstaff,NEW,CRY,$5400,M,500,16.67
Ravel Morrison,SHU,BHA,$3400,M,500,16.67
Joao Moutinho,WLV,NOR,$8000,M,500,16.67
Patrick Roberts,NOR,WLV,$3200,M,500,16.67
Robbie Brady,BUR,BOU,$5000,M,550,15.38
Luke Freeman,SHU,BHA,$4400,M,550,15.38
Pierre-Emile Hojbjerg,SOU,AVL,$4400,M,550,15.38
Matthew Longstaff,NEW,CRY,$3100,M,550,15.38
Emiliano Buendia,NOR,WLV,$6700,M,600,14.29
Kenny McLean,NOR,WLV,$4600,M,600,14.29
Fabian Schar,NEW,CRY,$4300,D,600,14.29
Ki Sung-yueng,NEW,CRY,$3500,M,600,14.29
Philip Billing,BOU,BUR,$4000,M,650,13.33
Leander Dendoncker,WLV,NOR,$4500,M,650,13.33
Aaron Lennon,BUR,BOU,$3600,M,650,13.33
Dwight McNeil,BUR,BOU,$7800,M/F,650,13.33
Romain Saiss,WLV,NOR,$3500,M,650,13.33
Jeffrey Schlupp,CRY,NEW,$4400,M,650,13.33
Marco Stiepermann,NOR,WLV,$4100,M,650,13.33
Mario Vrancic,NOR,WLV,$4400,M,650,13.33
Victor Camarasa,CRY,NEW,$6400,M,700,12.50
Max Meyer,CRY,NEW,$4000,M,700,12.50
Marvelous Nakamba,AVL,SOU,$4300,M,700,12.50
Adam Webster,BHA,SHU,,,700,12.50
Lewis Cook,BOU,BUR,$3900,M,750,11.76
Lewis Dunk,BHA,SHU,$4600,D,750,11.76
Federico Fernandez,NEW,CRY,$4200,D,750,11.76
Andrew Surman,BOU,BUR,$4300,M,750,11.76
Ruben Vinagre,WLV,NOR,$4000,D,750,11.76
James McArthur,CRY,NEW,$4800,M,800,11.11
Jetro Willems,NEW,CRY,$5300,D,800,11.11
Ciaran Clark,NEW,CRY,$3900,D,850,10.53
Isaac Hayden,NEW,CRY,$4100,M,850,10.53
Jefferson Lerma,BOU,BUR,$4200,M,850,10.53
Dan Burn,BHA,SHU,,,900,10.00
Davy Propper,BHA,SHU,$4500,M,900,10.00
Oriol Romeu,SOU,AVL,$4000,M,900,10.00
Alexander Tettey,NOR,WLV,$3700,M,900,10.00
Jonny,WLV,NOR,$4400,D,950,9.52
Leon Balogun,BHA,SHU,$3100,D,1000,9.09
James McCarthy,CRY,NEW,$4300,M,1000,9.09
Tyrone Mings,AVL,SOU,$2800,D,1000,9.09
Cedric Soares,SOU,AVL,$4300,D,1000,9.09
Dale Stephens,BHA,SHU,$4700,M,1000,9.09
Muhamed Besic,SHU,BHA,$3700,M,1100,8.33
Oliver Norwood,SHU,BHA,$5200,M,1100,8.33
Ben Osborn,SHU,BHA,$3000,M,1100,8.33
James Chester,AVL,SOU,$3500,D,1200,7.69
Bjorn Engels,AVL,SOU,$3200,D,1200,7.69
Cheikhou Kouyate,CRY,NEW,$3400,M,1200,7.69
Jack O'Connell,SHU,BHA,$3700,D,1200,7.69
Matt Targett,AVL,SOU,$5100,D,1200,7.69
Jesus Vallejo,WLV,NOR,$2900,D,1200,7.69
Ashley Westwood,BUR,BOU,$4800,M,1200,7.69
Jack Cork,BUR,BOU,$3400,M,1300,7.14
Jairo Riedewald,CRY,NEW,$3300,M,1300,7.14
Tom Trybull,NOR,WLV,$3400,M,1300,7.14
Chris Basham,SHU,BHA,$3800,D,1400,6.67
Ryan Bennett,WLV,NOR,$3300,D,1400,6.67
Kevin Danso,SOU,AVL,$3800,D,1400,6.67
John Egan,SHU,BHA,$3300,D,1400,6.67
Ben Godfrey,NOR,WLV,$2700,D,1400,6.67
Lloyd Kelly,BOU,BUR,$2900,D,1400,6.67
Max Kilman,WLV,NOR,$2600,D,1400,6.67
Florian Lejeune,NEW,CRY,$3500,D,1400,6.67
Ben Mee,BUR,BOU,$2900,D,1400,6.67
Chris Mepham,BOU,BUR,$3600,D,1400,6.67
Diego Rico,BOU,BUR,$6000,D,1400,6.67
Jack Simpson,BOU,BUR,$3200,D,1400,6.67
Jack Stacey,BOU,BUR,$4400,D,1400,6.67
Enda Stevens,SHU,BHA,$4500,D,1400,6.67
Charlie Taylor,BUR,BOU,$3600,D,1400,6.67
Patrick van Aanholt,CRY,NEW,$4600,D,1400,6.67
Maya Yoshida,SOU,AVL,$3200,D,1400,6.67
George Baldock,SHU,BHA,$5400,D,1500,6.25
Gary Cahill,CRY,NEW,$3400,D,1500,6.25
Scott Dann,CRY,NEW,$3600,D,1500,6.25
James Tomkins,CRY,NEW,$3900,D,1500,6.25
Ibrahim Amadou,NOR,WLV,$3100,M,1600,5.88
Kieron Freeman,SHU,BHA,$3100,D,1600,5.88
Grant Hanley,NOR,WLV,$3700,D,1600,5.88
Phil Jagielka,SHU,BHA,$2800,D,1600,5.88
Moritz Leitner,NOR,WLV,$3900,M,1600,5.88
James Tarkowski,BUR,BOU,$3700,D,1600,5.88
Christoph Zimmermann,NOR,WLV,$2900,D,1600,5.88
Ben Gibson,BUR,BOU,$2600,D,1700,5.56
Kevin Long,BUR,BOU,$2700,D,1700,5.56
Martin Montoya,BHA,SHU,$5500,D,1700,5.56
Yan Valery,SOU,AVL,$3900,D,1700,5.56
Jannik Vestergaard,SOU,AVL,$2800,D,1700,5.56
Kortney Hause,AVL,SOU,$3000,D,1800,5.26
DeAndre Yedlin,NEW,CRY,$4300,D,1900,5.00
Ryan Bertrand,SOU,AVL,$4700,D,2000,4.76
Bernardo,BHA,SHU,$3800,D,2000,4.76
Ezequiel Schelotto,BHA,SHU,$4000,D,2000,4.76
Simon Francis,BOU,BUR,$4300,D,2100,4.55
Richard Stearman,SHU,BHA,$3000,D,2100,4.55
Paul Dummett,NEW,CRY,$3600,D,2300,4.17
Emil Krafth,NEW,CRY,$3300,D,2300,4.17
Jack Stephens,SOU,AVL,$2900,D,2300,4.17
Max Aarons,NOR,WLV,$3800,D,2400,4.00
Frederic Guilbert,AVL,SOU,$5200,D,2400,4.00
Gaetan Bong,BHA,SHU,$3900,D,2600,3.70
Conor Coady,WLV,NOR,$3000,D,2600,3.70
Martin Kelly,CRY,NEW,$4800,D,2600,3.70
Jan Bednarek,SOU,AVL,$2800,D,2700,3.57
Phil Bardsley,BUR,BOU,$4500,D,2800,3.45
Anthony Driscoll-Glennon,BUR,BOU,$2500,D,2800,3.45
Erik Pieters,BUR,BOU,$4600,D,2800,3.45
Neil Taylor,AVL,SOU,$4200,D,2800,3.45
Sam Byram,NOR,WLV,$3900,D,3100,3.13
Jamal Lewis,NOR,WLV,$3600,D,3100,3.13
Javier Manquillo,NEW,CRY,$4500,D,3100,3.13
Matthew Lowton,BUR,BOU,$3800,D,3400,2.86
