,Matchup,,Daily,,Odds,
Matej Vydra,BUR,EVE,$3600,F,350,22.22
James Ward-Prowse,SOU,CHE,$6600,M,350,22.22
Anthony Gordon,EVE,BUR,$3900,M,360,21.74
Robert Snodgrass,WHU,CRY,$6100,M,360,21.74
Dan Gosling,BOU,ARS,$4000,M,370,21.28
Ravel Morrison,SHU,WAT,$3600,M,380,20.83
Bernard,EVE,BUR,$4900,M,390,20.41
Michael Obafemi,SOU,CHE,$4800,F,420,19.23
Patrick Roberts,NOR,AVL,$3200,M,420,19.23
Che Adams,SOU,CHE,$4400,F,430,18.87
Felipe Anderson,WHU,CRY,$5900,M,430,18.87
Ismaila Sarr,WAT,SHU,$6500,M/F,430,18.87
Luke Freeman,SHU,WAT,$4800,M,440,18.52
Jordon Ibe,BOU,ARS,$4600,M/F,440,18.52
Nathan Redmond,SOU,CHE,$4900,M/F,460,17.86
Isaac Success,WAT,SHU,$4100,F,460,17.86
Philip Billing,BOU,ARS,$3300,M,470,17.54
Dani Ceballos,ARS,BOU,$5800,M,470,17.54
Pablo Fornals,WHU,CRY,$5400,M,470,17.54
Jeff Hendrick,BUR,EVE,$3100,M,470,17.54
Nathan Holland,WHU,CRY,$3400,M,490,16.95
Marcos Alonso,CHE,SOU,$6000,D,500,16.67
Emiliano Buendia,NOR,AVL,$7400,M,500,16.67
Moussa Djenepo,SOU,CHE,$5000,M,500,16.67
Kenny McLean,NOR,AVL,$4700,M,500,16.67
Roberto Pereyra,WAT,SHU,$4600,M,500,16.67
Marco Stiepermann,NOR,AVL,$4100,M,500,16.67
Stuart Armstrong,SOU,CHE,$3200,M,550,15.38
Leighton Baines,EVE,BUR,$4400,D,550,15.38
Victor Camarasa,CRY,WHU,$5700,M,550,15.38
Abdoulaye Doucoure,WAT,SHU,$3200,M,550,15.38
Mateo Kovacic,CHE,SOU,$5100,M,550,15.38
Mark Noble,WHU,CRY,$3900,M,550,15.38
Mario Vrancic,NOR,AVL,$4500,M,550,15.38
Lewis Cook,BOU,ARS,$3600,M,600,14.29
David Luiz,ARS,BOU,$3500,D,600,14.29
Max Meyer,CRY,WHU,$3900,M,600,14.29
Marvelous Nakamba,AVL,NOR,$4200,M,600,14.29
Domingos Quina,WAT,SHU,$3000,M,600,14.29
Andrew Surman,BOU,ARS,$4100,M,600,14.29
Jack Wilshere,WHU,CRY,$4100,M,600,14.29
Sofiane Boufal,SOU,CHE,$5600,M,650,13.33
Jefferson Lerma,BOU,ARS,$3800,M,650,13.33
James McArthur,CRY,WHU,$4700,M,650,13.33
Robbie Brady,BUR,EVE,$4500,M,700,12.50
Aaron Cresswell,WHU,CRY,$4500,D,700,12.50
Will Hughes,WAT,SHU,$4300,M,700,12.50
Yerry Mina,EVE,BUR,$3300,D,700,12.50
Alexander Tettey,NOR,AVL,$3600,M,750,11.76
Tom Davies,EVE,BUR,$3900,M,800,11.11
Fabian Delph,EVE,BUR,$3200,M,800,11.11
Lucas Digne,EVE,BUR,$6500,D,800,11.11
Matteo Guendouzi,ARS,BOU,$4200,M,800,11.11
Aaron Lennon,BUR,EVE,$3500,M,800,11.11
James McCarthy,CRY,WHU,$4000,M,800,11.11
Dwight McNeil,BUR,EVE,$6400,M/F,800,11.11
Shkodran Mustafi,ARS,BOU,$3000,D,800,11.11
Morgan Schneiderlin,EVE,BUR,$3400,M,800,11.11
Lucas Torreira,ARS,BOU,$5000,M,800,11.11
Pierre-Emile Hojbjerg,SOU,CHE,$4300,M,850,10.53
Mason Holgate,EVE,BUR,$3800,D,850,10.53
Reece James,CHE,SOU,$5500,D,900,10.00
Tyrone Mings,AVL,NOR,$3200,D,900,10.00
Oliver Norwood,SHU,WAT,$5500,M,900,10.00
Jack O'Connell,SHU,WAT,$3800,D,900,10.00
Muhamed Besic,SHU,WAT,$3900,M,950,9.52
Cheikhou Kouyate,CRY,WHU,$3400,M,950,9.52
Ainsley Maitland-Niles,ARS,BOU,$4600,D,950,9.52
Ben Osborn,SHU,WAT,$3100,M,950,9.52
Chris Basham,SHU,WAT,$4000,D,1000,9.09
Hector Bellerin,ARS,BOU,$4100,D,1000,9.09
John Egan,SHU,WAT,$3500,D,1000,9.09
Jose Holebas,WAT,SHU,$4700,D,1000,9.09
Antonio Rudiger,CHE,SOU,$3600,D,1000,9.09
Enda Stevens,SHU,WAT,$5200,D,1000,9.09
Tom Trybull,NOR,AVL,$3400,M,1000,9.09
Patrick van Aanholt,CRY,WHU,$4900,D,1000,9.09
George Baldock,SHU,WAT,$5600,D,1100,8.33
Etienne Capoue,WAT,SHU,$3800,M,1100,8.33
James Chester,AVL,NOR,$3500,D,1100,8.33
Bjorn Engels,AVL,NOR,$3300,D,1100,8.33
Matt Targett,AVL,NOR,$5000,D,1100,8.33
Kurt Zouma,CHE,SOU,$3900,D,1100,8.33
Fabian Balbuena,WHU,CRY,$3100,D,1200,7.69
Craig Dawson,WAT,SHU,$2700,D,1200,7.69
Kieron Freeman,SHU,WAT,$3700,D,1200,7.69
Phil Jagielka,SHU,WAT,$3000,D,1200,7.69
Chris Mepham,BOU,ARS,$3400,D,1200,7.69
Diego Rico,BOU,ARS,$5900,D,1200,7.69
Jack Stacey,BOU,ARS,$3800,D,1200,7.69
Ibrahim Amadou,NOR,AVL,$3000,M,1300,7.14
Nathaniel Chalobah,WAT,SHU,$3400,M,1300,7.14
Calum Chambers,ARS,BOU,$3900,D,1300,7.14
Seamus Coleman,EVE,BUR,$4300,D,1300,7.14
Scott Dann,CRY,WHU,$3600,D,1300,7.14
Dimitri Foulquier,WAT,SHU,$3300,D,1300,7.14
Grant Hanley,NOR,AVL,$3500,D,1300,7.14
Michael Keane,EVE,BUR,$3500,D,1300,7.14
Moritz Leitner,NOR,AVL,$3800,M,1300,7.14
Konstantinos Mavropanos,ARS,BOU,$2900,D,1300,7.14
Jairo Riedewald,CRY,WHU,$3200,M,1300,7.14
Djibril Sidibe,EVE,BUR,$4600,D,1300,7.14
James Tomkins,CRY,WHU,$3700,D,1300,7.14
Christoph Zimmermann,NOR,AVL,$3100,D,1300,7.14
Lloyd Kelly,BOU,ARS,$2500,D,1400,6.67
Declan Rice,WHU,CRY,$3200,M,1400,6.67
Carlos Sanchez,WHU,CRY,$3600,M,1400,6.67
Jack Simpson,BOU,ARS,$3000,D,1400,6.67
Kortney Hause,AVL,NOR,$3100,D,1500,6.25
Christian Kabasele,WAT,SHU,$3500,D,1500,6.25
Winston Reid,WHU,CRY,$2900,D,1500,6.25
Oriol Romeu,SOU,CHE,$3400,M,1500,6.25
Ashley Westwood,BUR,EVE,$4500,M,1500,6.25
Andreas Christensen,CHE,SOU,$3300,D,1600,5.88
Akin Famewo,NOR,AVL,$2500,D,1600,5.88
Cedric Soares,SOU,CHE,$4100,D,1600,5.88
Fikayo Tomori,CHE,SOU,$3500,D,1600,5.88
Sam Woods,CRY,WHU,$3100,D,1600,5.88
Craig Cathcart,WAT,SHU,$3200,D,1700,5.56
Rob Holding,ARS,BOU,$3200,D,1700,5.56
Arthur Masuaku,WHU,CRY,$3700,D,1700,5.56
Jack Cork,BUR,EVE,$3300,M,1800,5.26
Ben Mee,BUR,EVE,$3200,D,1800,5.26
Richard Stearman,SHU,WAT,$2800,D,1800,5.26
Charlie Taylor,BUR,EVE,$3700,D,1800,5.26
Max Aarons,NOR,AVL,$4000,D,1900,5.00
Cesar Azpilicueta,CHE,SOU,$5400,D,1900,5.00
Issa Diop,WHU,CRY,$2600,D,1900,5.00
Simon Francis,BOU,ARS,$3700,D,2000,4.76
Frederic Guilbert,AVL,NOR,$5300,D,2100,4.55
James Tarkowski,BUR,EVE,$3400,D,2100,4.55
Angelo Ogbonna,WHU,CRY,$3300,D,2200,4.35
Kevin Danso,SOU,CHE,$3300,D,2300,4.17
Ben Gibson,BUR,EVE,$2800,D,2300,4.17
Kevin Long,BUR,EVE,$3000,D,2300,4.17
Maya Yoshida,SOU,CHE,$2900,D,2300,4.17
Kiko Femenia,WAT,SHU,$4400,D,2400,4.00
Adam Masina,WAT,SHU,$3700,D,2400,4.00
Neil Taylor,AVL,NOR,$4200,D,2400,4.00
Sam Byram,NOR,AVL,$3800,D,2500,3.85
Jamal Lewis,NOR,AVL,$3600,D,2500,3.85
Martin Kelly,CRY,WHU,$4400,D,2600,3.70
Cuco Martina,EVE,BUR,$3100,D,2600,3.70
Mamadou Sakho,CRY,WHU,$3300,D,2600,3.70
Adrian Mariappa,WAT,SHU,$3400,D,2900,3.33
Yan Valery,SOU,CHE,$3500,D,2900,3.33
Jannik Vestergaard,SOU,CHE,$2800,D,2900,3.33
Ryan Bertrand,SOU,CHE,$4200,D,3200,3.03
Ryan Fredericks,WHU,CRY,$4000,D,3400,2.86
Pablo Zabaleta,WHU,CRY,$3500,D,3400,2.86
Phil Bardsley,BUR,EVE,$4000,D,3700,2.63
Anthony Driscoll-Glennon,BUR,EVE,$2700,D,3700,2.63
Erik Pieters,BUR,EVE,$4000,D,3700,2.63
Jack Stephens,SOU,CHE,$3200,D,3800,2.56
Jan Bednarek,SOU,CHE,$2600,D,4500,2.17
Matthew Lowton,BUR,EVE,$3800,D,4500,2.17
