,,,,,Game 17,,,Game 16,,,Game 15,,,Game 14,,,Game 13,,,Game 12,,,Game 11,,,Game 10,,,Game 9,,,Game 8,,,Game 7,,,Game 6,,,Game 5,,,Game 4,,,Game 3,,,Game 2,,,Game 1,,
Ashley Westwood,BUR,$4800,M,42,90,2,0,0,0,0,0,0,0,0,0,0,90,5,0,90,8,0,90,3,0,90,2,0,90,3,0,90,4,0,90,1,0,90,6,1,90,3,0,90,2,0,90,2,0,90,1,0,90,0,0
Dwight McNeil,BUR,$7800,M/F,39,90,2,0,90,1,0,75,1,1,90,3,0,90,2,0,90,3,0,59,1,0,90,2,0,90,2,0,90,1,0,90,2,2,79,2,0,90,3,0,90,6,0,86,3,0,90,4,0,84,1,0
Johann Berg Gudmundsson,BUR,$6300,M/F,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,72,4,0,90,2,0
Jeff Hendrick,BUR,$3200,M,6,90,0,0,90,1,0,90,2,0,90,3,0,90,0,0,90,0,0,90,0,0,84,0,0,90,0,0,90,0,0,90,0,0,89,0,0,31,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Robbie Brady,BUR,$5000,M,5,0,0,0,71,0,0,15,0,0,77,1,0,0,0,0,1,0,0,31,3,1,6,1,0,65,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka Milivojevic,CRY,$7100,M,95,90,4,0,90,4,0,90,9,1,90,6,1,90,8,0,90,2,0,90,7,0,90,6,0,76,1,1,0,0,0,90,6,0,90,7,0,90,6,0,90,17,1,90,2,0,90,7,1,90,3,0
Patrick van Aanholt,CRY,$4600,D,14,0,0,0,0,0,0,29,0,0,90,0,0,90,2,0,90,0,0,90,3,0,90,4,0,90,1,0,90,4,0,90,0,0,90,0,1,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0
Andros Townsend,CRY,$5800,M/F,4,0,0,0,73,0,0,45,0,0,69,0,0,90,0,0,90,0,0,0,0,0,90,0,0,35,0,0,9,0,0,20,0,0,0,0,0,85,0,0,6,0,0,10,0,0,70,0,0,90,4,0
Jonjo Shelvey,NEW,$8200,M,30,0,0,0,90,3,0,90,1,1,90,1,2,90,6,1,90,5,0,90,5,1,5,0,0,0,0,0,0,0,0,0,0,0,73,5,0,90,1,0,0,0,0,0,0,0,90,1,0,54,2,0
Sean Longstaff,NEW,$5400,M,17,90,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,5,0,90,1,0,90,4,0,90,0,0,0,0,0,0,0,0,90,3,1,90,0,0,16,0,0,67,0,0
Matt Ritchie,NEW,$7400,M,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,6,0,90,5,0,90,3,0
Christian Atsu,NEW,$4800,M,6,80,1,0,0,0,0,9,0,0,10,0,0,11,0,0,1,0,0,13,0,0,1,0,0,7,0,0,7,0,0,90,0,0,90,0,0,90,0,0,82,5,0,73,0,0,0,0,0,0,0,0
Ki Sung-yueng,NEW,$3500,M,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,17,3,0,0,0,0,0,0,0,0,0,0,74,1,0,0,0,0
Jetro Willems,NEW,$5300,D,2,71,0,0,90,0,0,90,1,0,90,0,0,90,0,0,90,0,0,87,0,0,90,1,0,90,0,0,90,0,0,0,0,0,82,0,0,90,0,0,90,0,0,0,0,0,0,0,0,36,0,0
Emiliano Buendia,NOR,$6700,M,79,89,5,1,90,11,0,7,0,0,7,3,0,10,0,0,62,5,0,90,3,1,90,2,0,90,7,0,90,10,0,90,7,0,90,3,0,83,5,1,90,4,0,90,3,0,90,9,0,90,2,1
Kenny McLean,NOR,$4600,M,18,90,0,0,90,0,0,90,2,0,90,5,0,88,10,0,90,1,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,12,0,0,9,0,0,0,0,0,90,0,0
Todd Cantwell,NOR,$4900,M,6,85,0,0,18,0,0,83,0,0,83,0,0,80,0,0,28,6,0,6,0,0,45,0,0,81,0,0,80,0,0,81,0,0,89,0,0,90,0,0,78,0,0,90,0,0,90,0,0,90,0,0
Onel Hernandez,NOR,$4700,M,1,5,0,0,72,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,45,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Oliver Norwood,SHU,$5200,M,55,86,1,0,65,1,0,72,4,1,90,4,0,90,3,0,90,2,0,90,2,0,63,0,0,85,5,0,90,4,0,77,4,0,64,2,0,90,7,0,90,4,0,90,4,1,90,6,0,90,2,0
John Fleck,SHU,$6700,M,47,90,2,0,90,0,0,90,5,0,90,1,0,90,4,0,90,4,0,90,5,0,90,5,0,90,3,0,90,5,0,90,1,0,90,1,0,90,7,0,0,0,0,0,0,0,29,1,0,90,3,0
Luke Freeman,SHU,$4400,M,6,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,90,3,0,61,3,0,12,0,0
John Lundstram,SHU,$5300,M,2,90,0,0,90,1,0,90,0,0,89,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,1,0,90,0,0,72,0,0,90,0,0,90,0,0,90,0,0,78,0,0
James Ward-Prowse,SOU,$7500,M,92,90,6,1,90,12,2,90,7,0,90,6,2,90,8,0,90,6,1,90,1,0,90,3,1,90,4,1,90,4,1,90,6,1,90,4,0,90,7,0,90,2,0,90,5,2,90,6,0,90,5,0
Ryan Bertrand,SOU,$4700,D,11,90,0,0,90,1,0,90,1,0,90,0,0,90,1,0,0,0,0,0,0,0,12,0,0,90,0,0,90,2,0,90,3,0,45,0,0,0,0,0,0,0,0,0,0,0,77,1,0,90,2,1
Sofiane Boufal,SOU,$6500,M,1,0,0,0,17,1,0,0,0,0,33,0,0,4,0,0,45,0,0,0,0,0,0,0,0,14,0,0,9,0,0,88,0,0,90,0,0,85,0,0,71,0,0,10,0,0,0,0,0,17,0,0
Joao Moutinho,WLV,$8000,M,108,90,15,0,90,6,0,90,8,0,90,13,0,90,9,1,90,6,0,90,10,1,90,7,0,90,3,0,90,1,0,90,1,0,90,8,0,90,9,0,31,1,0,59,3,0,90,5,0,90,3,0
Ruben Neves,WLV,$4200,M,11,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,85,0,0,90,0,0,90,0,0,45,0,0,90,0,0,3,0,0,33,0,0,90,0,0,84,8,0,90,3,0,90,0,0,81,0,0
Pedro Neto,WLV,$6300,F,1,0,0,0,13,0,0,18,0,0,0,0,0,0,0,0,7,0,0,1,0,0,20,0,0,0,0,0,0,0,0,57,0,0,25,0,0,0,0,0,6,0,0,23,1,0,4,0,0,0,0,0
